Gene name	Zebrafish gene name
Mug1	a2ml
Mug2	a2ml
Pzp	a2ml
A2ml1	a2ml
Aaas	aaas
Aacs	aacs
Gm5538	aadac
Gm8298	aadac
C130079G13Rik	aadac
Aadacl2	aadac
Aadac	aadac
Aadacl3	aadacl4
9430007A20Rik	aadacl4
Gm13124	aadacl4
Gm13177	aadacl4
Gm436	aadacl4
Gm13178	aadacl4
Gm438	aadacl4
Aadat	aadat
Aaed1	aaed1
Aagab	aagab
Aak1	aak1a
Aak1	aak1b
Aamdc	aamdc
Aamp	aamp
Aanat	aanat1
Aanat	aanat2
Aar2	aar2
Aars	aars
Aars2	aars2
Aarsd1	aarsd1
Aasdh	aasdh
Aasdhppt	aasdhppt
Aass	aass
Aatf	aatf
Aatk	aatka
Aatk	aatkb
Abat	abat
Abca12	abca12
Abca1	abca1a
Abca1	abca1b
Abca2	abca2
Abca3	abca3b
Abca17	abca3b
Abca14	abca3b
Abca15	abca3b
Abca16	abca3b
Abca4	abca4a
Abca4	abca4b
Abca8a	abca5
Abca9	abca5
Abca6	abca5
Abca5	abca5
Abca8b	abca5
Abcb10	abcb10
Abcb11	abcb11b
Tap2	abcb3l1
Abcb1a	abcb4
Abcb1b	abcb4
Abcb4	abcb4
Abcb6	abcb6a
Abcb6	abcb6b
Abcb7	abcb7
Abcb8	abcb8
Abcb9	abcb9
Abcc1	abcc1
Abcc10	abcc10
Abcc12	abcc12
Abcc2	abcc2
Abcc3	abcc3
Abcc4	abcc4
Abcc5	abcc5
Abcc6	abcc6a
Abcc6	abcc6b.2
Abcc9	abcc9
Abcd1	abcd1
Abcd2	abcd2
Abcd3	abcd3a
Abcd3	abcd3b
Abcd4	abcd4
Abce1	abce1
Abcf1	abcf1
Abcf2	abcf2a
Abcf2	abcf2b
Abcg1	abcg1
Abcg3	abcg2a
Abcg2	abcg2a
Abcg3	abcg2d
Abcg2	abcg2d
Abcg4	abcg4a
Abcg4	abcg4b
Abcg5	abcg5
Abcg8	abcg8
Abhd10	abhd10a
Abhd10	abhd10b
Abhd11	abhd11
Abhd12	abhd12
Abhd12b	ABHD12B (1 of many)
Abhd13	abhd13
Abhd14a	abhd14a
Abhd14b	abhd14b
Abhd15	abhd15a
Abhd16a	abhd16a
Abhd16b	abhd16a
Abhd17a	abhd17aa
Abhd17a	abhd17ab
Abhd17b	abhd17b
Abhd17c	abhd17c
Abhd18	abhd18
Abhd2	abhd2a
Abhd2	abhd2b
Abhd3	abhd3
Abhd4	abhd4
Abhd5	abhd5b
Abhd6	abhd6a
Abhd6	abhd6b
Abhd8	abhd8a
Abhd8	abhd8b
Abi1	abi1a
Abi1	abi1b
Abi2	abi2a
Abi2	abi2b
Abi3	abi3a
Abi3	abi3b
Abi3bp	abi3bpa
Abi3bp	abi3bpb
Abl1	abl1
Abl2	abl2
Ablim1	ablim1a
Ablim1	ablim1b
Ablim2	ablim2
Ablim3	ablim3
Gbgt1	abo
Abo	abo
Abra	abrab
Abracl	abracl
Abt1	abt1
Abtb1	abtb1
Abtb2	abtb2a
Abtb2	abtb2b
Gm22156	ACA64
Snora78	ACA64
Acaa1b	acaa1
Acaa1a	acaa1
Acaa2	acaa2
Acaca	acaca
Acacb	acacb
Acad11	acad11
Acad8	acad8
Acad9	acad9
Acadl	acadl
Acadm	acadm
Acads	acads
Acadsb	acadsb
Acadsb	ACADSB (1 of many)
Acadvl	acadvl
Acan	acana
Acan	acanb
Acap1	acap1
Acap2	acap2
Acap2	ACAP2 (1 of many)
Acap3	acap3a
Acap3	acap3b
Acat1	acat1
Acat3	acat2
Acat2	acat2
Acbd3	acbd3
Acbd3	ACBD3 (1 of many)
Acbd4	acbd4
Acbd5	acbd5b
Acbd6	acbd6
Acbd7	acbd7
Accs	accs
Accsl	accs
Ace	ace
Ace3	ace
Ace2	ace2
Rnu3a	ACEA_U3
Rnu3b4	ACEA_U3
Gm23927	ACEA_U3
Rnu3b3	ACEA_U3
Gm24826	ACEA_U3
Rnu3b2	ACEA_U3
Gm25203	ACEA_U3
Rnu3b1	ACEA_U3
Acer1	acer1
Acer2	acer2
Acer3	acer3
Ache	ache
Acin1	acin1a
Acin1	acin1b
Ackr3	ackr3a
Ackr3	ackr3b
Ackr4	ackr4a
Ackr4	ackr4b
Acly	aclya
Acly	aclyb
Acmsd	acmsd
Aco1	aco1
Aco2	aco2
Acot11	acot11a
Acot11	acot11b
Acot12	ACOT12
Acot13	acot13
Acot7	acot7
Acot8	acot8
Acot9	acot9.1
Acot10	acot9.1
Acot9	acot9.2
Acot10	acot9.2
Acox1	acox1
Acox3	acox3
Acoxl	acoxl
Acp1	acp1
Acp2	acp2
Acp5	acp5a
Acp6	acp6
Acsbg1	acsbg1
Acsbg2	acsbg2
1700061G19Rik	acsbg2
Acsf2	acsf2
Acsf3	ACSF3
Acsl1	acsl1a
Acsl1	acsl1b
Acsl3	acsl3a
Acsl3	acsl3b
Acsl4	acsl4a
Acsl4	acsl4b
Acsl5	acsl5
Acsm3	acsm3
Acss1	acss1
Acss2	acss2
Acss3	acss3
Actc1	acta1a
Actc1	acta1b
Actg2	acta2
Actb	actb1
Actb	actb2
Actc1	ACTC1 (1 of many)
Actc1	actc1a
Actc1	actc1b
Actg2	ACTG2 (1 of many)
Actl6a	actl6a
Actl6b	actl6b
Actn1	actn1
Actn2	actn2b
Actn3	actn3a
Actn3	actn3b
Actr1b	actr1
Actr10	actr10
Actr2	ACTR2 (1 of many)
Actr2	actr2a
Actr2	actr2b
Actr3	actr3
Actr3b	actr3b
Actr5	actr5
Actr6	actr6
Actr8	actr8
Acvr1b	acvr1ba
Acvr1b	acvr1bb
Acvr1c	ACVR1C
Acvr1	acvr1l
Acvr2a	acvr2aa
Acvr2a	acvr2ab
Acvr2b	acvr2b
Acvr2b	ACVR2B (1 of many)
Acvrl1	acvrl1
Acy1	acy1
Acy3	acy3.1
Acy3	acy3.2
Ada	ada
Adad1	adad1
Adad2	adad2
Adal	adal
Adam10	adam10a
Adam10	adam10b
Adam11	adam11
Adam12	adam12
Adam15	adam15
Adam17	adam17a
Adam17	adam17b
Adam33	adam19a
Adam19	adam19b
Adam22	adam22
Adam23	adam23a
Adam7	adam28
Adam28	adam28
Adam8	adam8a
Adam8	adam8b
Adam9	adam9
Adamts1	adamts1
Adamts10	adamts10
Adamts12	adamts12
Adamts13	adamts13
Adamts14	ADAMTS14
Adamts15	adamts15a
Adamts15	adamts15b
Adamts8	adamts15b
Adamts17	adamts17
Adamts18	adamts18
Adamts2	adamts2
Adamts3	adamts3
Adamts5	adamts5
Adamts6	adamts6
Adamts7	ADAMTS7
Adamts8	adamts8a
Adamts9	adamts9
Adamtsl2	adamtsl2
Adamtsl3	adamtsl3
Adamtsl5	adamtsl5
Thsd4	adamtsl7
Adap2	adap2
Adar	adar
Adarb1	adarb1a
Adarb1	adarb1b
Adarb2	adarb2
Adat1	adat1
Adat2	adat2
Adat3	adat3
Adat3	adat3
Adck1	adck1
Gm42420	adck2
Adck2	adck2
Coq8a	adck3
Coq8b	adck4
Adck5	adck5
Adcy1	adcy1a
Adcy1	adcy1b
Adcy2	adcy2a
Adcy2	adcy2b
Adcy3	ADCY3 (1 of many)
Adcy3	adcy3b
Adcy5	adcy5
Adcy6	adcy6a
Adcy6	adcy6b
Adcy7	adcy7
Adcy8	adcy8
Adcy9	adcy9
Adcyap1	adcyap1a
Adcyap1	adcyap1b
Adcyap1r1	adcyap1r1a
Adcyap1r1	adcyap1r1b
Add1	add1
Add2	add2
Add3	add3a
Add3	add3b
Adgb	adgb
Adgra1	adgra1a
Adgra2	adgra2
Adgra3	adgra3
Adgrb1	adgrb1a
Adgrb1	adgrb1b
Adgrb2	adgrb2
Adgrb3	adgrb3
Adgrd1	adgrd1
Adgre4	adgre10
Adgre1	adgre10
Adgre4	adgre14
Adgre1	adgre14
Adgre4	adgre15
Adgre1	adgre15
Adgre4	adgre16
Adgre1	adgre16
Adgre4	adgre17
Adgre1	adgre17
Adgre4	adgre18
Adgre1	adgre18
Adgre4	adgre19
Adgre1	adgre19
Adgre5	adgre5b.2
Adgre5	adgre5b.3
Adgre4	adgre6
Adgre1	adgre6
Adgre4	adgre7
Adgre1	adgre7
Adgre4	adgre8
Adgre1	adgre8
Adgre4	adgre9
Adgre1	adgre9
Adgrf4	adgrf11
Adgrf2	adgrf11
Adgrf1	adgrf11
Adgrf3	adgrf3a
Adgrf3	adgrf3b
Adgrf4	adgrf6
Adgrf2	adgrf6
Adgrf1	adgrf6
Adgrf4	adgrf7
Adgrf2	adgrf7
Adgrf1	adgrf7
Adgrf4	adgrf8
Adgrf2	adgrf8
Adgrf1	adgrf8
Adgrg5	adgrg1
Adgrg1	adgrg1
Adgrg3	adgrg1
Adgrg2	ADGRG2 (1 of many)
Adgrg6	adgrg6
Adgrg7	adgrg7.1
Adgrg7	adgrg7.2
Adgrl1	adgrl1a
Adgrl2	adgrl2a
Adgrl2	adgrl2b.1
Adgrl3	ADGRL3 (1 of many)
Adgrl3	adgrl3.1
Adgrl4	adgrl4
Adgrv1	adgrv1
Adh5	adh5
Adh7	adh8a
Adh1	adh8a
Adh6a	adh8a
Adh6b	adh8a
Adh4	adh8a
Adh7	adh8b
Adh1	adh8b
Adh6a	adh8b
Adh6b	adh8b
Adh4	adh8b
Adhfe1	adhfe1
Adi1	adi1
Adipoq	adipoqa
Adipoq	adipoqb
Adipor1	adipor1a
Adipor1	adipor1b
Adipor2	adipor2
Adk	adka
Adk	adkb
Adm2	adm2a
Adm2	adm2b
Adm	adma
Adnp2	adnp2a
Adnp2	adnp2b
Adnp	adnpa
Adnp	adnpb
Ado	adoa
Ado	adob
Adora1	adora1a
Adora1	adora1b
Adora2a	adora2aa
Adora2a	adora2ab
Adora2b	adora2b
Adora3	ADORA3 (1 of many)
Adpgk	adpgk
Adprh	adprh
Adprhl1	adprhl1
Adprhl2	adprhl2
Adprm	adprm
Adra1a	adra1aa
Adra1a	adra1ab
Adra1b	adra1ba
Adra1b	adra1bb
Adra1d	adra1d
Adra2a	adra2a
Adra2b	adra2b
Adra2b	ADRA2B (1 of many)
Adra2c	adra2c
Adrb1	adrb1
Adrb2	adrb2a
Adrb2	adrb2b
Adrb3	adrb3a
Adrb3	adrb3b
Grk3	adrbk2
Gm9774	adrm1
Adrm1	adrm1
Adsl	adsl
Adss	adss
Adssl1	adssl1
Aebp1	aebp1
Aebp1	AEBP1 (1 of many)
Aebp2	aebp2
Gm21964	aes
Afap1l1	afap1l1a
Afap1l1	afap1l1b
Afap1l2	afap1l2
Aff2	aff2
Aff3	aff3
Aff4	aff4
Afg3l2	afg3l2
Afmid	afmid
Aftph	aftpha
Aftph	aftphb
Aga	aga
Agap1	agap1
Agap2	agap2
Agap3	agap3
Agbl1	AGBL1
Agbl2	agbl2
Agbl5	agbl5
Agfg1	agfg1a
Agfg1	agfg1b
Aggf1	aggf1
Agk	agk
Agl	agla
Agl	aglb
Agmat	agmat
Agmo	agmo
Ago1	ago1
Ago2	ago2
Ago3	ago3b
Ago4	ago4
Agpat2	agpat2
Agpat3	agpat3
Agpat4	agpat4
Agpat5	agpat5
Gpat3	agpat9l
Agps	agps
Agr2	agr2
Agrn	agrn
Agrp	agrp
Agt	agt
Agtpbp1	agtpbp1
Agtr1b	agtr1a
Agtr1a	agtr1a
Agtr1b	agtr1b
Agtr1a	agtr1b
Agtr2	agtr2
Agtrap	agtrap
Agxt2	agxt2
Agxt	agxta
Agxt	agxtb
Ahctf1	ahctf1
Gm4737	ahcy
Ahcy	ahcy
Ahcyl1	ahcyl1
Ahcyl2	ahcyl2
Ahcyl2	AHCYL2 (1 of many)
Ahdc1	ahdc1
Ahi1	ahi1
Ahnak	ahnak
Ahr	ahr1a
Ahrr	ahrrb
Ahsa1	ahsa1a
Ahsa1	ahsa1b
Ahsg	ahsg2
Aicda	aicda
Aida	aida
Aif1l	aif1l
Aifm1	aifm1
Aifm2	AIFM2
Aifm3	aifm3
Aig1	aig1
Aim1	aim1a
Aim1	aim1b
Aimp1	aimp1
Aimp1	AIMP1 (1 of many)
Aimp2	aimp2
Aip	aip
Aipl1	aipl1
Aire	aire
Ajap1	ajap1
Ajuba	ajuba
Ak1	ak1
Ak2	ak2
Ak3	ak3
Ak4	ak4
Ak5	ak5
Ak7	ak7a
Ak7	ak7b
Ak8	ak8
Ak9	ak9
Akap10	akap10
Akap11	akap11
Akap12	akap12a
Akap12	akap12b
Akap13	AKAP13 (1 of many)
Akap1	akap1b
Akap6	akap6
Akap7	akap7
Akap8l	akap8l
Akap9	akap9
Akip1	akip1
Akirin1	akirin1
Akirin2	akirin2
Akr1a1	akr1a1b
Akr1b3	akr1b1
Akr1b8	akr1b1
Akr1b10	akr1b1
Akr1b7	akr1b1
Akr1e1	akr1b1
Akr7a5	akr7a3
Akt1	akt1
Akt1s1	akt1s1
Akt2	akt2
Akt2	akt2l
Akt3	akt3a
Akt3	akt3b
Aktip	aktip
Kcne1	AL807829.1
Tcp10b	AL845424.1
Tcp10a	AL845424.1
Tcp10c	AL845424.1
Zfp287	AL929028.1
Zfp629	AL929028.1
Zfp606	AL929028.1
Zkscan7	AL929028.1
Zfp2	AL929028.1
Zfp329	AL929028.1
Zfp46	AL929028.1
Zfp180	AL929028.1
Zfp3	AL929028.1
Zscan2	AL929028.1
Zfp647	AL929028.1
Zfp623	AL929028.1
Prr5l	AL929208.1
Pkd1l2	AL935125.1
Gpr119	AL935199.1
Alad	alad
Alas1	alas1
Alas2	alas2
Alcam	alcama
Alcam	alcamb
Aldh16a1	aldh16a1
Aldh18a1	aldh18a1
Aldh1a2	aldh1a2
Aldh1a3	aldh1a3
Aldh1l1	aldh1l1
Aldh1l2	aldh1l2
Aldh2	aldh2.1
Aldh2	aldh2.2
Aldh3a1	aldh3a1
Aldh3a2	aldh3a1
Aldh3a1	aldh3a2a
Aldh3a2	aldh3a2a
Aldh3a1	aldh3a2b
Aldh3a2	aldh3a2b
Aldh3b3	aldh3b1
Aldh3b2	aldh3b1
Aldh3b1	aldh3b1
Aldh4a1	aldh4a1
Aldh5a1	aldh5a1
Aldh6a1	aldh6a1
Aldh7a1	aldh7a1
Aldh8a1	aldh8a1
Aldh9a1	aldh9a1a.1
Aldh9a1	aldh9a1a.2
Aldh9a1	aldh9a1b
Aldoart2	aldoaa
Aldoa	aldoaa
Aldoart1	aldoaa
Aldoart2	aldoab
Aldoa	aldoab
Aldoart1	aldoab
Aldob	aldob
Aldoc	aldoca
Aldoc	aldocb
Alg1	alg1
Alg10b	alg10
Alg11	alg11
Alg12	alg12
Alg14	alg14
Alg2	alg2
Alg3	alg3
Alg5	alg5
Alg6	alg6
Alg8	alg8
Alg9	alg9
Alk	alk
Alkbh1	alkbh1
Alkbh2	alkbh2
Alkbh3	alkbh3
Gm27027	alkbh3
Alkbh3	ALKBH3 (1 of many)
Gm27027	ALKBH3 (1 of many)
Alkbh4	alkbh4
Alkbh5	alkbh5
Alkbh6	alkbh6
Alkbh7	alkbh7
Alkbh8	alkbh8
Allc	allc
Alms1	alms1
Alox12	alox12
Alox12e	alox12
Alox15	alox12
Alox5	alox5a
Alox5ap	alox5ap
Alppl2	alpi.1
Alpi	alpi.1
Akp3	alpi.1
Alpk1	alpk1
Alpk2	alpk2
Alpk3	alpk3a
Alpk3	alpk3b
Alpl	alpl
Als2	als2a
Als2	als2b
Alx1	alx1
Alx3	ALX3
Gm4302	alyref
Gm4307	alyref
Gm4303	alyref
Gm4312	alyref
Gm4305	alyref
Gm4301	alyref
Gm6763	alyref
Gm21293	alyref
Gm8764	alyref
Gm21304	alyref
Gm21312	alyref
Gm20765	alyref
Gm4340	alyref
Alyref2	alyref
Alyref	alyref
Amacr	amacr
Ambp	ambp
Ambra1	ambra1a
Ambra1	ambra1b
Amd1	amd1
Amd2	amd1
Amdhd1	AMDHD1
Amdhd2	amdhd2
Amer1	amer1
Amer2	amer2
Amfr	amfr
Amfr	amfrb
Amh	amh
Amigo1	amigo1
Amigo3	amigo3
Amigo3	AMIGO3 (1 of many)
Ammecr1	ammecr1
Ammecr1l	ammecr1
Amn	amn
Amn1	amn1
Amot	amot
Amotl1	AMOTL1
Amotl2	amotl2a
Amotl2	amotl2b
Ampd1	ampd1
Ampd2	ampd2a
Ampd2	ampd2b
Ampd3	ampd3a
Ampd3	ampd3b
Amph	amph
Amt	amt
Amy2a5	amy2a
Amy2a4	amy2a
Amy2a3	amy2a
Amy2a2	amy2a
Amy2a1	amy2a
Amy1	amy2a
Anapc1	anapc1
Anapc10	anapc10
Anapc11	anapc11
Anapc13	anapc13
Anapc15	anapc15
Anapc15-ps	anapc15
Anapc16	anapc16
Anapc2	anapc2
Anapc4	anapc4
Anapc5	anapc5
Anapc7	anapc7
Angel1	angel1
Angel2	angel2
Angpt1	angpt1
Angpt2	angpt2a
Angpt4	angpt4
Angptl1	angptl1a
Angptl1	angptl1b
Angptl2	angptl2a
Angptl2	angptl2b
Angptl3	angptl3
Angptl4	angptl4
Angptl6	angptl6
Angptl7	angptl7
Ank1	ank1a
Ank1	ank1b
Ank2	ANK2
Ank2	ank2b
Ank3	ank3a
Ank3	ank3b
Ankar	ankar
Ankdd1a	ankdd1a
Ankdd1b	ankdd1b
Ankef1	ankef1a
Ankef1	ankef1b
Ankfy1	ankfy1
Ank	ankha
Ank	ankhb
Ankhd1	ankhd1
Ankib1	ankib1a
Ankib1	ankib1b
Ankk1	ankk1
Ankle2	ankle2
Ankmy1	ankmy1
Ankmy2	ankmy2a
Ankmy2	ankmy2b
Ankra2	ankra2
Ankrd10	ankrd10a
Ankrd10	ankrd10b
Ankrd11	ankrd11
Ankrd31	ankrd12
Ankrd12	ankrd12
Ankrd13a	ankrd13a
Ankrd13b	ankrd13b
Ankrd13c	ankrd13c
Ankrd13d	ankrd13d
Ankrd16	ankrd16
Ankrd1	ankrd1a
Ankrd1	ankrd1b
Ankrd2	ankrd2
Ankrd22	ankrd22
Ankrd24	ankrd24
Ankrd27	ankrd27
Ankrd28	ANKRD28 (1 of many)
Ankrd28	ankrd28b
Ankrd29	ankrd29
Ankrd33	ankrd33aa
Ankrd33	ankrd33ab
Ankrd33b	ankrd33ba
Ankrd33b	ankrd33bb
Ankrd34a	ANKRD34A
Ankrd34b	ankrd34ba
Ankrd34b	ankrd34bb
Ankrd34c	ANKRD34C
Ankrd37	ankrd37
Ankrd39	ankrd39
Ankrd40	ankrd40
Ankrd44	ankrd44
Ankrd45	ankrd45
Ankrd46	ankrd46a
Ankrd46	ankrd46b
Ankrd49	ankrd49
Ankrd52	ankrd52a
Ankrd52	ankrd52b
Ankrd54	ankrd54
Ankrd55	ankrd55
Ankrd65	ANKRD65
Ankrd6	ankrd6b
Ankrd9	ankrd9
Anks1	anks1aa
Anks1	anks1ab
Anks1b	anks1b
Anks3	anks3
Anks4b	anks4b
Ankzf1	ankzf1
Anln	anln
Ano1	ano1
Ano10	ano10a
Ano2	ano2
Ano2	ANO2 (1 of many)
Ano3	ano3
Ano5	ano5a
Ano5	ano5b
Ano6	ano6
Ano7	ANO7
Ano8	ano8a
Ano8	ano8b
Ano9	ano9a
Ano9	ano9b
Anp32a	anp32a
Anp32b	anp32b
Anp32e	anp32e
Anpep	ANPEP (1 of many)
Anpep	anpepa
Anpep	anpepb
Antxr1	antxr1a
Antxr1	antxr1b
Antxr2	antxr2a
Antxr2	antxr2b
Anxa11	anxa11a
Anxa11	anxa11b
Anxa13	anxa13
Anxa13	anxa13l
Anxa1	anxa1a
Anxa1	anxa1b
Anxa1	anxa1c
Anxa2	anxa2a
Anxa2	anxa2b
Anxa3	anxa3a
Anxa3	anxa3b
Anxa4	anxa4
Anxa5	anxa5a
Anxa5	anxa5b
Anxa6	anxa6
Aoc1	aoc1
1600015I10Rik	aoc1
Doxl2	aoc1
Svs1	aoc1
Aoc2	aoc2
Aoc3	aoc2
Aox3	aox6
Aox4	aox6
Aox2	aox6
Aox1	aox6
Ap1ar	ap1ar
Ap1b1	ap1b1
Ap1g1	ap1g1
Ap1g2	ap1g2
Ap1m1	ap1m1
Ap1m2	ap1m2
Ap1s1	ap1s1
Ap1s2	ap1s2
Ap1s3	ap1s3a
Ap1s3	ap1s3b
Ap2a1	ap2a1
Ap2b1	ap2b1
Ap2m1	ap2m1a
Ap2m1	ap2m1b
Ap2s1	ap2s1
Ap3b2	AP3B2
Ap3d1	ap3d1
Ap3m1	ap3m1
Ap3m2	ap3m2
Ap3s2	ap3s2
Ap4b1	ap4b1
Gm43064	ap4b1
Ap4e1	ap4e1
Ap4m1	ap4m1
Ap4s1	ap4s1
Ap5b1	ap5b1
Ap5m1	ap5m1
Ap5s1	ap5s1
Ap5z1	ap5z1
Apaf1	apaf1
Apba1	apba1a
Apba2	apba2b
Apba3	APBA3
Apbb1	apbb1
Apbb1ip	apbb1ip
Apbb2	apbb2b
Sra1	APBB3
Apc	apc
Apc2	apc2
Apcdd1	APCDD1
Apeh	apeh
Apex1	apex1
Apex2	apex2
Aph1a	APH1A
Aph1b	aph1b
Aph1c	aph1b
Api5	api5
Apip	apip
Apitd1	apitd1
Aplnr	aplnra
Aplnr	aplnrb
Aplp1	aplp1
Aplp2	aplp2
Apmap	apmap
Apoa1	apoa1a
Apoa1	apoa1b
Apoa1bp	apoa1bp
Apoa4	apoa4a
Apoa4	apoa4b.1
Apoa4	apoa4b.2
Apoa4	apoa4b.3
Apob	apoba
Apob	apobb.1
Apob	apobb.2
Apobec2	apobec2a
Apobec2	apobec2b
Apod	apoda.1
Apod	apoda.2
Apod	apodb
Apoe	apoea
Apoe	apoeb
Apof	apof
Apold1	apol1
Apom	apom
Apoo	apooa
Apoo-ps	apooa
Apoo	apoob
Apoo-ps	apoob
Apool	apool
Apopt1	apopt1
App	appa
App	appb
Appbp2	appbp2
Appl1	appl1
Appl2	appl2
Aprt	aprt
Aptx	aptx
Aqp12	aqp12
Aqp1	aqp1a.1
Aqp1	aqp1a.2
Aqp3	aqp3a
Aqp3	aqp3b
Aqp4	aqp4
Aqp7	aqp7
Aqp8	aqp8a.1
Aqp9	aqp9b
Aqr	aqr
Ar	ar
Araf	araf
Arap1	ARAP1
Arap2	ARAP2
Arap3	arap3
Arcn1	arcn1a
Arcn1	arcn1b
Areg	areg
Arel1	AREL1
Arf2	arf2b
Arf3	arf3a
Arf4	arf4a
Arf5	arf5
Arf6	arf6a
Arf6	arf6b
Arfgap2	arfgap2
Arfgap3	arfgap3
Arfgef1	arfgef1
Arfgef2	arfgef2
Arfgef3	arfgef3
Arfip1	arfip1
Gm37240	arfip1
Arfip2	arfip2a
Arfip2	arfip2b
Arfrp1	arfrp1
Arg1	arg1
Arg2	arg2
Arglu1	arglu1a
Arglu1	arglu1b
Arhgap1	arhgap1
Arhgap10	arhgap10
Arhgap11a	arhgap11a
Arhgap12	arhgap12a
Arhgap12	arhgap12b
Arhgap15	arhgap15
Arhgap17	arhgap17a
Arhgap17	arhgap17b
Arhgap18	ARHGAP18
Arhgap19	arhgap19
Arhgap20	arhgap20
1700006A11Rik	arhgap20
Gm1527	arhgap20
Arhgap20	arhgap20b
1700006A11Rik	arhgap20b
Gm1527	arhgap20b
Arhgap21	arhgap21a
Arhgap21	arhgap21b
Arhgap22	arhgap22
Arhgap22	ARHGAP22 (1 of many)
Arhgap23	arhgap23a
Arhgap23	arhgap23b
Arhgap24	arhgap24
Arhgap25	arhgap25
Arhgap27	arhgap27
Arhgap27	arhgap27l
Arhgap28	ARHGAP28
Arhgap29	arhgap29a
Arhgap29	arhgap29b
Arhgap31	arhgap31
Arhgap32	arhgap32a
Arhgap32	arhgap32b
Arhgap33	arhgap33
Arhgap35	arhgap35
Arhgap35	arhgap35a
Arhgap42	ARHGAP42 (1 of many)
Arhgap42	arhgap42a
Arhgap44	arhgap44
Arhgap44	ARHGAP44 (1 of many)
Arhgap45	ARHGAP45 (1 of many)
Arhgap4	arhgap4a
Arhgap4	arhgap4b
Arhgap5	arhgap5
Arhgap36	arhgap6
Arhgdia	arhgdia
Arhgdig	arhgdig
Arhgef10	arhgef10
Arhgef10l	arhgef10la
Arhgef10l	arhgef10lb
Arhgef11	arhgef11
Arhgef12	ARHGEF12 (1 of many)
Arhgef12	arhgef12b
Arhgef15	arhgef15
Arhgef16	arhgef16
Arhgef18	arhgef18a
Arhgef18	arhgef18b
Arhgef19	arhgef19
Arhgef2	arhgef1a
Arhgef1	arhgef1b
Arhgef2	arhgef2
Arhgef25	ARHGEF25 (1 of many)
Arhgef25	arhgef25b
Arhgef28	arhgef28
Arhgef3	arhgef3
Arhgef33	arhgef33
Arhgef37	arhgef37
Arhgef38	arhgef38
Arhgef39	arhgef39
Arhgef4	arhgef4
Arhgef40	arhgef40
Arhgef5	arhgef5
Arhgef6	arhgef6
Arhgef7	arhgef7a
Arhgef7	arhgef7b
Arhgef9	arhgef9a
Arhgef9	arhgef9b
Arid1a	arid1aa
Arid1a	arid1ab
Arid1b	arid1b
Arid2	arid2
Arid3a	arid3a
Arid3b	arid3b
Arid4a	arid4a
Arid5a	arid5a
Arid5b	ARID5B
Arih1	arih1
Arih1	arih1l
Arih2	arih2
Arl1	arl1
Arl11	arl11
Arl13a	arl13a
Arl13b	arl13b
Arl14	arl14
Arl14ep	arl14ep
Arl15	arl15a
Arl15	arl15b
Arl16	arl16
Arl2	arl2
Arl2bp	arl2bp
Arl3	arl3
Arl4a	arl4ab
Arl4c	arl4ca
Arl4c	arl4cb
Arl4d	arl4d
Arl5a	arl5a
