genes	IDTranscript/RepeatID (cmd=analyzeRepeats.pl /home/labs/amit/eyald/bin/data/Sheep_Ovis_aries_Oar_v3.1/oa3.ens90.P2000M.gtf none -d mic_sheep1.M mic_sheep2.M mic_sheep3.M -count exons -condenseGenes -strand + -raw)	chr	start	end	strand	Length	Copies	Annotation/Divergence	mic_sheep1.M (1263768.0 total)	mic_sheep2.M (2196952.0 total)	mic_sheep3.M (3022681.0 total)
HIST2H2BE	ENSOART00000014290	chr1	98904899	98905279	-	380.0	1	0.000	0.000	4.000	2.000
ENSOARG00000018256	ENSOART00000019864	chrX	28402708	28515495	-	3804.0	1	0.000	11.000	20.000	25.000
MYO1F	ENSOART00000004584	chr5	14803504	14832555	-	5257.0	1	0.000	184.000	265.000	484.000
ENSOARG00000017687	ENSOART00000019246	chrUn_JH922433	101	238	+	137.0	1	0.000	0.000	0.000	0.000
S100A8	ENSOART00000000477	chr1	102330237	102332680	-	2291.0	1	0.000	0.000	0.000	1.000
ENSOARG00000025841	ENSOART00000027806	chr2	207131480	207134257	+	2423.0	1	0.000	6.000	8.000	10.000
ENSOARG00000002651	ENSOART00000002869	chr14	60197420	60200917	+	661.0	1	0.000	0.000	4.000	4.000
ENSOARG00000006179	ENSOART00000006719	chr13	73980489	73982673	-	280.0	1	0.000	0.000	0.000	0.000
ATPIF1	ENSOART00000003274	chr2	238011417	238015214	-	2284.0	1	0.000	110.000	220.000	402.000
PRSS8	ENSOART00000009593	chr24	27220406	27226048	-	3219.0	1	0.000	2.000	0.000	3.000
GALNT16	ENSOART00000023081	chr7	78044292	78078221	+	3465.0	1	0.000	3.000	0.000	0.000
ENSOARG00000025429	ENSOART00000027348	chr12	10487341	10493995	-	1727.0	1	0.000	0.000	0.000	0.000
ENSOARG00000025998	ENSOART00000027975	chr3	88847236	88896550	+	2468.0	1	0.000	0.000	0.000	0.000
OXSR1	ENSOART00000001170	chr19	11578992	11662800	+	3549.0	1	0.000	17.000	36.000	21.000
SNORD11B	ENSOART00000025056	chr2	203500947	203501032	+	85.0	1	0.000	0.000	0.000	0.000
MAPK10	ENSOART00000004227	chr6	100454410	100650949	-	3405.0	1	0.000	5.000	0.000	0.000
ENSOARG00000024724	ENSOART00000026626	chr4	24575319	24577442	+	2123.0	1	0.000	0.000	0.000	0.000
DDOST	ENSOART00000009827	chr2	244861097	244879957	+	7859.0	1	0.000	112.000	230.000	471.000
ENSOARG00000018157	ENSOART00000019762	chr20	29887314	29890269	-	2671.0	1	0.000	0.000	0.000	0.000
LGMN	ENSOART00000014314	chr18	56318394	56346416	-	3480.0	1	0.000	62.000	70.000	116.000
PLCD1	ENSOART00000000833	chr19	11397763	11417782	-	4293.0	1	0.000	14.000	23.000	37.000
KEAP1	ENSOART00000017786	chr5	12690652	12699790	-	4093.0	1	0.000	246.000	323.000	472.000
RPA2	ENSOART00000003516	chr2	238327017	238349329	+	2796.0	1	0.000	8.000	60.000	62.000
ENSOARG00000010398	ENSOART00000011311	chr5	87109410	87109976	-	566.0	1	0.000	0.000	0.000	0.000
C1orf185	ENSOART00000004829	chr1	25342485	25382055	+	2665.0	1	0.000	1.000	6.000	3.000
ENSOARG00000018278	ENSOART00000019899	chr24	1826120	1930304	+	6202.0	1	0.000	0.000	2.000	0.000
ENSOARG00000020156	ENSOART00000021945	chr9	28105544	28106122	+	578.0	1	0.000	0.000	1.000	8.000
ENSOARG00000025863	ENSOART00000027828	chr2	241546871	241575651	-	3576.0	1	0.000	0.000	0.000	0.000
SHC2	ENSOART00000009272	chr5	40499170	40514618	-	3287.0	1	0.000	139.000	225.000	291.000
KAT2A	ENSOART00000020162	chr11	41730610	41741444	-	5369.0	1	0.000	20.000	48.000	83.000
TMEM30B	ENSOART00000001026	chr7	70314098	70316814	-	2716.0	1	0.000	0.000	0.000	0.000
SH3KBP1	ENSOART00000016391	chrX	16999498	17290622	-	4104.0	1	0.000	49.000	112.000	170.000
ENSOARG00000005957	ENSOART00000006477	chr5	15669453	15683248	-	597.0	1	0.000	0.000	0.000	0.000
RESP18	ENSOART00000021936	chr2	220246016	220253718	-	2833.0	1	0.000	0.000	0.000	0.000
CPEB1	ENSOART00000014793	chr18	21950841	21978713	-	3681.0	1	0.000	0.000	0.000	0.000
PIM2	ENSOART00000012484	chrX	52890972	52897422	+	3105.0	1	0.000	2.000	11.000	7.000
PDK1	ENSOART00000001085	chr2	136167785	136213559	-	3200.0	1	0.000	23.000	31.000	52.000
FOXO1	ENSOART00000006530	chr10	22237525	22240862	+	3337.0	1	0.000	1.000	14.000	20.000
DNMBP	ENSOART00000014496	chr22	20002847	20084326	-	6710.0	1	0.000	11.000	24.000	23.000
ENSOARG00000026650	ENSOART00000028676	chr19	24800730	24802676	-	694.0	1	0.000	0.000	0.000	0.000
GRB7	ENSOART00000013081	chr11	39676932	39682761	+	3587.0	1	0.000	0.000	0.000	0.000
FUNDC2	ENSOART00000003742	chrX	75547000	75575647	+	7292.0	1	0.000	27.000	76.000	78.000
TTBK2	ENSOART00000022411	chr7	35074320	35168949	-	5775.0	1	0.000	9.000	14.000	13.000
ZNF382	ENSOART00000005794	chr14	46076597	46105945	-	3713.0	1	0.000	0.000	0.000	0.000
FAM122B	ENSOART00000013034	chrX	95100667	95124183	+	2913.0	1	0.000	15.000	35.000	23.000
SERBP1	ENSOART00000012266	chr1	42664297	42682402	-	4748.0	1	0.000	303.000	548.000	687.000
CYTL1	ENSOART00000007849	chr6	103748586	103754884	+	2407.0	1	0.000	0.000	0.000	0.000
SMIM9	ENSOART00000003481	chrX	75399223	75402431	-	2270.0	1	0.000	0.000	1.000	0.000
WFDC11	ENSOART00000006728	chr13	74008160	74012250	+	2271.0	1	0.000	0.000	0.000	0.000
RNF19B	ENSOART00000022741	chr2	233796534	233826353	+	8598.0	1	0.000	0.000	0.000	2.000
RUSC2	ENSOART00000013055	chr2	52617243	52632387	-	6506.0	1	0.000	8.000	5.000	4.000
ARRB1	ENSOART00000012337	chr15	52665884	52740268	-	4084.0	1	0.000	205.000	228.000	451.000
SPIN4	ENSOART00000005857	chrX	43664281	43667039	-	2758.0	1	0.000	0.000	0.000	0.000
MFSD6	ENSOART00000017692	chr2	117676117	117769907	-	5894.0	1	0.000	5.000	10.000	15.000
RAB12	ENSOART00000000777	chr23	41418183	41442310	+	4253.0	1	0.000	31.000	104.000	106.000
TXNDC8	ENSOART00000007493	chr2	12957435	12995889	+	2373.0	1	0.000	0.000	0.000	0.000
ENSOARG00000022696	ENSOART00000024598	chr17	70918786	70920859	-	2073.0	1	0.000	0.000	0.000	2.000
PLEK2	ENSOART00000023066	chr7	76157360	76178968	-	3045.0	1	0.000	0.000	0.000	0.000
ENSOARG00000019285	ENSOART00000021001	chr1	86140095	86148981	+	675.0	1	0.000	0.000	0.000	0.000
NRP2	ENSOART00000020072	chr2	206749749	206868241	+	5323.0	1	0.000	16.000	10.000	39.000
ACA59	ENSOART00000025934	chr12	39341753	39343892	-	2139.0	1	0.000	49.000	90.000	131.000
ENSOARG00000026819	ENSOART00000028856	chr15	29716481	29742207	+	2885.0	1	0.000	0.000	0.000	0.000
MAP3K2	ENSOART00000017568	chr2	117043528	117088140	+	8254.0	1	0.000	31.000	46.000	48.000
KRT28	ENSOART00000016577	chr11	40563391	40573023	-	3380.0	1	0.000	0.000	0.000	0.000
ENSOARG00000007380	ENSOART00000008031	chr18	67785083	67786978	-	1836.0	1	0.000	0.000	0.000	0.000
ENSOARG00000004093	ENSOART00000004449	chr11	23570925	23573857	-	2932.0	1	0.000	0.000	0.000	0.000
ENSOARG00000007207	ENSOART00000007838	chr19	52650197	52658935	+	2076.0	1	0.000	0.000	0.000	0.000
TEX33	ENSOART00000020817	chr3	180220983	180245818	-	7643.0	1	0.000	0.000	0.000	0.000
SLC25A36	ENSOART00000007412	chr1	246025740	246057449	-	3118.0	1	0.000	42.000	65.000	82.000
ENSOARG00000008150	ENSOART00000008868	chr16	26010418	26013266	+	496.0	1	0.000	0.000	1.000	2.000
IL17B	ENSOART00000005783	chr5	58282858	58288776	-	2538.0	1	0.000	0.000	0.000	0.000
PDIA5	ENSOART00000021971	chr1	185701829	185795885	+	3671.0	1	0.000	107.000	173.000	296.000
ENSOARG00000001876	ENSOART00000002014	chr1	180092455	180093378	-	923.0	1	0.000	5.000	0.000	5.000
SNORD121A	ENSOART00000026432	chr2	179311180	179311253	-	73.0	1	0.000	0.000	0.000	0.000
SLC8A3	ENSOART00000023092	chr7	78695982	78837399	-	4771.0	1	0.000	0.000	3.000	3.000
ENSOARG00000026836	ENSOART00000028873	chr15	58242774	58248299	-	3857.0	1	0.000	0.000	0.000	0.000
SLITRK3	ENSOART00000016139	chr1	220226044	220230986	+	4942.0	1	0.000	0.000	0.000	0.000
ENSOARG00000003821	ENSOART00000004148	chr23	22045902	22047872	-	1970.0	1	0.000	2.000	5.000	12.000
ENSOARG00000026132	ENSOART00000028119	chr21	48715451	48729793	+	3311.0	1	0.000	0.000	0.000	0.000
ENSOARG00000011567	ENSOART00000012576	chr12	52642639	52646592	+	1460.0	1	0.000	0.000	0.000	0.000
ENSOARG00000011781	ENSOART00000012807	chr7	21730668	21731633	-	965.0	1	0.000	0.000	0.000	0.000
ENSOARG00000006654	ENSOART00000007232	chr3	5175113	5176431	-	523.0	1	0.000	0.000	0.000	0.000
ENSOARG00000026690	ENSOART00000028717	chr7	10418948	10481314	-	4304.0	1	0.000	0.000	1.000	2.000
ENSOARG00000019798	ENSOART00000021558	chr7	24140006	24141309	-	670.0	1	0.000	0.000	0.000	0.000
SYT11	ENSOART00000005299	chr1	104478482	104496757	+	3699.0	1	0.000	1.000	0.000	0.000
ENSOARG00000004408	ENSOART00000004796	chr5	57019700	57023396	+	835.0	1	0.000	0.000	0.000	0.000
FRMPD4	ENSOART00000012137	chrX	10047210	10253673	+	5903.0	1	0.000	0.000	0.000	0.000
ENSOARG00000005229	ENSOART00000005699	chr13	64540806	64541216	-	410.0	1	0.000	7.000	35.000	56.000
SEMA3C	ENSOART00000018402	chr4	39952749	40159229	+	4976.0	1	0.000	0.000	0.000	0.000
ENSOARG00000023625	ENSOART00000025527	chr21	49413551	49413625	+	74.0	1	0.000	0.000	0.000	0.000
CSNK1G1	ENSOART00000022601	chr7	42789031	42893414	+	3562.0	1	0.000	8.000	11.000	10.000
FBXO30	ENSOART00000002117	chr8	70022298	70031522	-	4251.0	1	0.000	6.000	11.000	17.000
SPOCD1	ENSOART00000000846	chr2	234744813	234779184	+	5402.0	1	0.000	0.000	0.000	0.000
HAT1	ENSOART00000001896	chr2	136695010	136736832	-	3325.0	1	0.000	13.000	33.000	25.000
ENSOARG00000007404	ENSOART00000008059	chr1	28881484	28922077	+	3932.0	1	0.000	0.000	0.000	0.000
PMVK	ENSOART00000003310	chr1	103714893	103727965	-	2570.0	1	0.000	0.000	1.000	6.000
OR9K2	ENSOART00000012784	chr3	164759993	164780802	-	2957.0	1	0.000	0.000	0.000	0.000
ENSOARG00000002372	ENSOART00000002566	chrUn_AMGL01125906	21	2713	-	2351.0	1	0.000	0.000	0.000	0.000
UTP20	ENSOART00000016050	chr3	170228637	170317908	+	10285.0	1	0.000	22.000	55.000	45.000
MYH9	ENSOART00000020436	chr3	179541050	179599359	-	7735.0	1	0.000	69.000	156.000	284.000
SV2A	ENSOART00000022559	chr1	98919016	98929462	-	4210.0	1	0.000	0.000	0.000	0.000
DHRSX	ENSOART00000008785	chrX	989302	1028753	-	2681.0	1	0.000	54.000	63.000	98.000
ZMYM2	ENSOART00000015283	chr10	36320774	36386924	-	6542.0	1	0.000	35.000	92.000	97.000
SYCP2L	ENSOART00000016588	chr20	44241451	44300359	-	4556.0	1	0.000	0.000	0.000	0.000
CKM	ENSOART00000010645	chr14	52021707	52032525	-	3166.0	1	0.000	0.000	0.000	0.000
ENSOARG00000011937	ENSOART00000012985	chrX	94838845	94847392	-	2840.0	1	0.000	0.000	0.000	0.000
ENSOARG00000015939	ENSOART00000017355	chr10	51535910	51536767	-	729.0	1	0.000	3.000	9.000	0.000
ENSOARG00000021420	ENSOART00000023322	chr15	39420143	39422203	-	2060.0	1	0.000	0.000	0.000	0.000
TEX50	ENSOART00000013399	chr12	53103193	53110402	+	6055.0	1	0.000	0.000	0.000	0.000
NR0B2	ENSOART00000004273	chr2	239171683	239175378	+	2730.0	1	0.000	0.000	0.000	0.000
SCN11A	ENSOART00000001856	chr19	12158793	12238836	-	7307.0	1	0.000	0.000	0.000	0.000
NLRP9	ENSOART00000001045	chr14	59021023	59048436	-	4981.0	1	0.000	0.000	0.000	0.000
CDC42BPB	ENSOART00000005767	chr18	66323070	66387826	-	8413.0	1	0.000	103.000	86.000	245.000
YKT6	ENSOART00000020595	chr15	46310502	46313238	-	2561.0	1	0.000	0.000	0.000	1.000
ENSOARG00000001404	ENSOART00000001503	chrUn_JH923002	21	60926	-	3741.0	1	0.000	0.000	0.000	0.000
GEMIN5	ENSOART00000011107	chr5	63597609	63637321	-	6478.0	1	0.000	3.000	7.000	9.000
MAP4K2	ENSOART00000010280	chr21	42336172	42350414	-	4296.0	1	0.000	17.000	14.000	31.000
ENSOARG00000016561	ENSOART00000018035	chrUn_JH922407	6	5116	+	2638.0	1	0.000	0.000	0.000	0.000
ENSOARG00000018532	ENSOART00000020177	chr15	23795415	23845602	-	5317.0	1	0.000	30.000	40.000	40.000
GAP43	ENSOART00000001978	chr1	178704472	178707047	+	2575.0	1	0.000	0.000	0.000	0.000
ENSOARG00000025516	ENSOART00000027441	chr1	36969481	37040346	-	2262.0	1	0.000	0.000	0.000	0.000
PTCRA	ENSOART00000004594	chr20	16643960	16650906	+	2816.0	1	0.000	2.000	3.000	0.000
DNASE1L1	ENSOART00000005409	chrX	77224908	77229743	+	2988.0	1	0.000	57.000	99.000	142.000
CLEC3B	ENSOART00000012097	chr19	54056404	54064238	-	2613.0	1	0.000	8.000	62.000	370.000
RAB9B	ENSOART00000010861	chrX	122416320	122418925	-	2605.0	1	0.000	0.000	0.000	1.000
ENSOARG00000013709	ENSOART00000014916	chr4	104452922	104487450	+	2411.0	1	0.000	0.000	0.000	0.000
ENSOARG00000018547	ENSOART00000020188	chrX	30832917	30835875	+	2916.0	1	0.000	0.000	0.000	0.000
DUSP21	ENSOART00000021153	chrX	41841010	41843600	+	2590.0	1	0.000	0.000	0.000	0.000
NPC1L1	ENSOART00000016847	chr4	76936549	76959676	+	5965.0	1	0.000	0.000	0.000	0.000
ENSOARG00000017774	ENSOART00000019339	chr12	27111172	27114693	-	991.0	1	0.000	0.000	1.000	0.000
ENSOARG00000020716	ENSOART00000022569	chr1	206335541	206380437	-	807.0	1	0.000	0.000	0.000	0.000
ENSOARG00000018879	ENSOART00000020557	chr3	136794891	136798101	-	989.0	1	0.000	1.000	2.000	0.000
ENSOARG00000012190	ENSOART00000013257	chr1	262656552	262668911	+	751.0	1	0.000	0.000	0.000	0.000
ENSOARG00000001799	ENSOART00000001935	chr4	112859143	112864175	+	3432.0	1	0.000	0.000	0.000	0.000
AIP	ENSOART00000013580	chr21	44651161	44659106	+	2982.0	1	0.000	11.000	12.000	21.000
ETS1	ENSOART00000014243	chr21	31042040	31116808	-	5348.0	1	0.000	0.000	0.000	0.000
RABEP1	ENSOART00000004326	chr11	25771652	25835808	-	4557.0	1	0.000	20.000	37.000	29.000
ECHS1	ENSOART00000000394	chr22	50733609	50742406	+	2861.0	1	0.000	64.000	91.000	179.000
PXMP4	ENSOART00000009346	chr13	62580869	62597150	-	3756.0	1	0.000	13.000	27.000	26.000
SLC7A2	ENSOART00000010094	chr26	18438034	18463496	-	3993.0	1	0.000	0.000	0.000	0.000
ENSOARG00000025920	ENSOART00000027890	chr24	41696723	41716039	+	4882.0	1	0.000	0.000	0.000	0.000
ENSOARG00000025227	ENSOART00000027132	chr4	33768545	33781593	+	4715.0	1	0.000	0.000	0.000	0.000
TJP1	ENSOART00000018007	chr18	27451888	27703839	-	7340.0	1	0.000	0.000	0.000	2.000
MRPS15	ENSOART00000021463	chr1	11053081	11060732	-	2765.0	1	0.000	51.000	81.000	138.000
ENSOARG00000026979	ENSOART00000029035	chr16	55043053	55062596	+	2442.0	1	0.000	0.000	0.000	0.000
ENSOARG00000010251	ENSOART00000011150	chr21	26700971	26701864	-	886.0	1	0.000	0.000	0.000	0.000
STPG1	ENSOART00000007188	chr2	241403646	241461092	+	3703.0	1	0.000	1.000	2.000	7.000
MMP28	ENSOART00000006158	chr11	14198464	14214927	+	3590.0	1	0.000	0.000	0.000	0.000
AMPD2	ENSOART00000020980	chr1	86038057	86049968	+	4357.0	1	0.000	51.000	45.000	73.000
ASPHD2	ENSOART00000000817	chr17	65805012	65813692	+	2918.0	1	0.000	0.000	0.000	0.000
RAMP3	ENSOART00000014882	chr4	76529252	76535198	-	2439.0	1	0.000	0.000	0.000	0.000
KIF3C	ENSOART00000020097	chr3	33107792	33144287	-	4423.0	1	0.000	2.000	0.000	0.000
ENSOARG00000013524	ENSOART00000014711	chr5	41997519	42044309	+	2489.0	1	0.000	5.000	21.000	18.000
TRIM77	ENSOART00000003647	chr21	4740779	4751809	+	3346.0	1	0.000	0.000	0.000	0.000
PDCD11	ENSOART00000004046	chr22	23067088	23109823	+	7567.0	1	0.000	33.000	41.000	82.000
ENSOARG00000002795	ENSOART00000003025	chrUn_JH924297	21	4168	+	3483.0	1	0.000	0.000	0.000	0.000
QRFPR	ENSOART00000016416	chr6	4181893	4237708	+	3291.0	1	0.000	0.000	0.000	0.000
ENSOARG00000000905	ENSOART00000000968	chr1	123728586	123729068	+	482.0	1	0.000	0.000	0.000	0.000
DLEU1_1	ENSOART00000026011	chr10	19842179	19842369	+	190.0	1	0.000	0.000	0.000	0.000
NCAPH	ENSOART00000015144	chr3	103914410	103947112	-	4164.0	1	0.000	25.000	50.000	88.000
ROBO2	ENSOART00000018037	chr1	143163495	143507441	+	6133.0	1	0.000	0.000	0.000	0.000
TMEM202	ENSOART00000020623	chr7	18953504	18970516	+	2820.0	1	0.000	0.000	0.000	0.000
NOX5	ENSOART00000020230	chr7	15626115	15683874	+	4204.0	1	0.000	0.000	0.000	0.000
ENSOARG00000017723	ENSOART00000019288	chr12	27076631	27079459	-	1097.0	1	0.000	0.000	0.000	0.000
ENSOARG00000013797	ENSOART00000015012	chrX	102210419	102245183	+	3981.0	1	0.000	3.000	8.000	8.000
PRKX	ENSOART00000009684	chrX	1604408	1637869	-	2928.0	1	0.000	1.000	1.000	14.000
KHSRP	ENSOART00000006402	chr5	15653766	15664415	+	3545.0	1	0.000	0.000	0.000	1.000
SCGB3A2	ENSOART00000004116	chr5	56573739	56579006	+	2274.0	1	0.000	0.000	0.000	0.000
ENSOARG00000026740	ENSOART00000028770	chr22	12928106	13035141	+	2770.0	1	0.000	0.000	0.000	0.000
FBXO21	ENSOART00000005257	chr17	57499416	57536078	+	4475.0	1	0.000	19.000	87.000	73.000
ENSOARG00000002250	ENSOART00000002431	chrUn_JH922991	1732	5899	-	1390.0	1	0.000	0.000	0.000	0.000
STXBP6	ENSOART00000005297	chr18	33917740	34146066	-	2976.0	1	0.000	0.000	0.000	0.000
TMEM106C	ENSOART00000021096	chr3	138408761	138414994	-	2737.0	1	0.000	69.000	195.000	246.000
SMU1	ENSOART00000010419	chr2	37856110	37885650	+	3528.0	1	0.000	45.000	149.000	207.000
ZNF576	ENSOART00000009580	chr14	50895813	50900302	+	2553.0	1	0.000	99.000	143.000	167.000
LMAN1L	ENSOART00000003421	chr18	32761425	32776397	-	4925.0	1	0.000	0.000	0.000	0.000
ENSOARG00000011777	ENSOART00000012803	chr15	76911121	76913738	+	2617.0	1	0.000	0.000	0.000	0.000
RECQL4	ENSOART00000014042	chr9	13388154	13397976	+	7746.0	1	0.000	0.000	2.000	16.000
TULP2	ENSOART00000013450	chr14	54512109	54522361	-	3660.0	1	0.000	4.000	3.000	12.000
HOXB4	ENSOART00000007691	chr11	37460283	37463782	+	2623.0	1	0.000	27.000	45.000	103.000
SNORD19B	ENSOART00000025841	chr19	48149540	48149621	-	81.0	1	0.000	0.000	0.000	0.000
SWT1	ENSOART00000004525	chr12	64255371	64353697	+	5400.0	1	0.000	14.000	37.000	24.000
PLA2G2F	ENSOART00000010226	chr2	245386619	245398914	-	3932.0	1	0.000	0.000	0.000	0.000
SLITRK1	ENSOART00000018665	chr10	59237348	59241438	-	4090.0	1	0.000	0.000	0.000	0.000
FOS	ENSOART00000001920	chr7	83397872	83402138	+	3127.0	1	0.000	533.000	191.000	5349.000
ARNT	ENSOART00000022737	chr1	99678911	99747432	-	5944.0	1	0.000	34.000	56.000	96.000
ZNF565	ENSOART00000005772	chr14	45948588	45963874	-	3565.0	1	0.000	11.000	18.000	12.000
ENSOARG00000004806	ENSOART00000005238	chr17	69108840	69111220	+	2380.0	1	0.000	1.000	1.000	4.000
ENSOARG00000003689	ENSOART00000004003	chr5	14649840	14650640	+	202.0	1	0.000	526.000	807.000	1263.000
PTPN13	ENSOART00000004473	chr6	101134495	101329591	+	13763.0	1	0.000	1.000	18.000	7.000
ZNF143	ENSOART00000013567	chr15	42676558	42720862	-	3895.0	1	0.000	17.000	66.000	53.000
ENSOARG00000017928	ENSOART00000019507	chr4	82704772	82725359	+	3017.0	1	0.000	0.000	0.000	0.000
PALD1	ENSOART00000006643	chr25	26492136	26574959	+	4709.0	1	0.000	66.000	89.000	213.000
YPEL5	ENSOART00000021382	chr3	36877149	36881012	+	2387.0	1	0.000	27.000	109.000	112.000
ENSOARG00000010416	ENSOART00000011334	chr20	8001296	8006987	-	2287.0	1	0.000	0.000	2.000	0.000
ENSOARG00000021876	ENSOART00000023778	chr4	114852999	114855079	+	2080.0	1	0.000	0.000	0.000	0.000
ENSOARG00000001690	ENSOART00000001818	chr14	59494047	59497164	-	166.0	1	0.000	0.000	0.000	0.000
HSPH1	ENSOART00000012788	chr10	30044800	30067505	+	5152.0	1	0.000	50.000	87.000	90.000
ENSOARG00000014784	ENSOART00000016092	chr11	29601784	29629562	+	2611.0	1	0.000	0.000	0.000	0.000
