Gene name	Rat gene name
Atf4	Atf4
Urgcp	Urgcp
Igsf10	Igsf10
Lrrc69	Lrrc69
Acat3	Acat2l1
Atl2	Atl2
Gm5678	LOC102556347
Gm5678	LOC108348130
Gm5678	Cbr1
Trim15	Trim15
Rps19bp1	Rps19bp1
Fam25c	Fam25a
Smndc1	Smndc1
Kcna3	Kcna3
Adprhl1	Adprhl1
Clpsl2	Clpsl2
Mup20	AABR07048475.1
Mup20	AABR07048487.2
Mup8	AABR07048475.1
Mup8	AABR07048487.2
C330007P06Rik	RGD1564541
Fibcd1	Fibcd1
Mrpl18	Mrpl18
Alx3	Alx3
Mxi1	Mxi1
Cbr1	LOC102556347
Cbr1	LOC108348130
Cbr1	Cbr1
Mup16	AABR07048475.1
Mup16	AABR07048487.2
Trim40	Trim40
Slc6a17	Slc6a17
Acat2	Acat2l1
Marf1	Marf1
Plch1	Plch1
Cep41	Cep41
Nlgn1	Nlgn1
Fam160b1	Fam160b1
Slc18a3	Slc18a3
Clps	Clps
Tsr2	NEWGENE_1562416
Uqcc2	Uqcc2
Hivep2	Hivep2
Tmem28	Fam155b
Cfap58	Cfap58l1
H2-M2	RT1-M2
Mup1	AABR07048475.1
Mup1	AABR07048487.2
Glud1	Glud1
Slc26a7	Slc26a7
Itpr3	Itpr3
Baiap2l1	Baiap2l1
Tmlhe	Tmlhe
Sowahd	Sowahd
Lgsn	Lgsn
Cacybp	Cacybp
Cbr3	Cbr3
Unc5cl	Unc5cl
Prr3	Prr3
Nol8	Nol8
Chat	Chat
Pafah1b1	Pafah1b1
Exosc2	Exosc2
Fnbp1	Fnbp1
Zfp37	Zfp37
Tcaf2	Tcaf2
Mup7	AABR07048475.1
Mup7	AABR07048487.2
Myot	LOC100909761
Zbtb9	Zbtb9
Abcf1	Abcf1
Mup19	AABR07048475.1
Mup19	AABR07048487.2
Enthd1	Enthd1
Ralyl	Ralyl
Trim26	Trim26
Higd1b	Higd1b
Tmco3	Tmco3
Mup18	AABR07048475.1
Mup18	AABR07048487.2
Mup5	AABR07048475.1
Mup5	AABR07048487.2
Cnrip1	Cnrip1
Itga4	Itga4
Stim1	Stim1
Mapk10	Mapk10
Gdf6	Gdf6
Kcna2	Kcna2
Vta1	Vta1
Tcp1	Tcp1
Mup21	AABR07048475.1
Mup21	AABR07048487.2
Dcun1d2	NEWGENE_1582994
Aspn	Aspn
Slfn5	Slfn5
Rhox3c	Rhox3
Olfr110	Olr1730
Enox2	Enox2
Slfn9	Slfn13
Rhox5	Rhox5
Terb1	Terb1
Olfr102	Olr1735
Olfr102	Olr1736
Olfr102	Olr1737
Otud6a	Otud6a
Pno1	Pno1
Vmn2r89	AABR07002209.1
Fsip2	Fsip2
Supt16	Supt16h
Tcaf3	Fam115e
Hdhd3	Hdhd3
Vmn2r111	LOC100910798
Omd	LOC103690116
Morc3	Morc3
Rhox4e	LOC103689929
Pip4p2	Pip4p2
Kcnj13	Kcnj13
Gm9	LOC108348152
Fbxo11	Fbxo11
Aco2	Aco2
Shank1	Shank1
Ppil1	Ppil1
Aff2	LOC103690302
Mrps18b	Mrps18b
Olfr105-ps	Olr1738
Slc26a8	Slc26a8
Mnt	Mnt
Ocm	Ocm2
Lrrc4c	Lrrc4c
Vmn2r9	AABR07002209.1
Arhgap36	Arhgap36
Dkc1	Dkc1
Ccdc103	Ccdc103
Glrx	Glrx
Vmn2r84	AABR07002209.1
Rhox7b	Rhox2
Rhox3a	Rhox3
Slfn8	Slfn13
Rhox9	LOC100364002
Vmn2r114	LOC100910798
Rhox4a	LOC103689929
Gm11273	Cox5b
Vmn2r88	AABR07002209.1
Srsf3	Srsf3
Slc31a2	Slc31a2
Alad	Alad
Dpyd	Dpyd
Rhox3f	Rhox3
Slc33a1	Slc33a1
Nle1	Nle1
Lamp1	Lamp1
Galnt11	Galnt11
Olfr104-ps	Olr1738
Olfr101	Olr1735
Olfr101	Olr1736
Olfr101	Olr1737
Cstf3	Cstf3
Fam178b	Fam178b
Sla	Sla
Cfb	Cfb
Lhfpl5	Lhfpl5
Olfr103	Olr1734
Rhox4g	LOC103689929
Ube3c	Ube3c
Dgke	Dgke
Kif18b	Kif18b
Ralbp1	AABR07011057.2
Ralbp1	AABR07011057.1
Akap14	Akap14
Stxbp4	Stxbp4
Vmn2r125	AABR07002209.1
Fndc8	Fndc8
Phf20l1	Phf20l1
Cnga3	Cnga3
Mapk13	Mapk13
Brca2	Brca2
Lrrc71	Lrrc71
Tecpr1	Tecpr1
Rad51d	Rad51d
Gm20547	Cfb
Insr	Insr
Awat2	Awat2
Vmn2r121	AABR07002209.1
Zic3	Zic3
Rcn1	Rcn1
Rhox4b	LOC103689929
Bri3	Bri3
Dcp2	LOC100909830
C2	C2
Cerkl	Cerkl
Rhox6	LOC100364002
Msh2	Msh2
Vmn2r117	LOC100910798
Slc39a7	Slc39a7
Srpk1	Srpk1
Evi5l	Evi5l
Fam3b	Fam3b
Shank3	Shank3
Tmbim1	Tmbim1
Vmn2r122	AABR07002209.1
P2ry4	P2ry4
Nelfe	Nelfe
Trim21	Trim21
Msh6	Msh6
Bhlha15	Bhlha15
Prdm12	Prdm12
Brpf3	Brpf3
Vmn2r-ps159	AABR07002209.1
Unc45b	Unc45b
Sec24b	Sec24b
Ddt	Ddt
Gfap	Gfap
Gm12355	Srsf3
Neurod1	Neurod1
Pi16	Pi16
Dgat2l6	Dgat2l6
Pnpla1	Pnpla1
Nkap	Nkap
Mctp1	Mctp1
Fam120c	AABR07037451.2
Rhox3e	Rhox3
Frmd7	Frmd7
Vmn2r85	AABR07002209.1
Otud6b	Otud6b
Skiv2l	Skiv2l
Mrgprh	Mas1l
Upf3b	Upf3b
Rhox4f	LOC103689929
Ogn	NEWGENE_1308171
Tie1	Tie1
Usp13	Usp13
Epcam	Epcam
Vmn2r10	AABR07002209.1
Spata16	Spata16
Ppp3r1	AABR07016428.1
Ppp3r1	Ppp3r1
Gmps	Gmps
Pnldc1	Pnldc1
Olfr111	Olr1730
Fubp3	Fubp3
Opn4	Opn4
Zbed5	Zbed5
Awat1	Awat1
Igbp1	Igbp1
Chchd2	LOC100911516
Cxcr2	Cxcr2
Il25	Il25
Pear1	Pear1
Ass1	Ass1
Mapk14	Mapk14
Vmn2r12	AABR07002209.1
Casp8ap2	Casp8ap2
Rbmx2	Rbmx2
Cabin1	Cabin1
Cenpp	LOC679342
Ect2	Ect2
Vmn2r87	AABR07002209.1
BC004004	RGD735065
Zfp280b	LOC100909869
E130311K13Rik	RGD1565059
Rhox3g	Rhox3
Gpbar1	Gpbar1
Arpc2	Arpc2
Rhox3a2	Rhox3
Nae1	Nae1
Cd96	Cd96
Vmn2r86	AABR07002209.1
Stk38	Stk38
Olfr106-ps	Olr1738
Hmcn1	Hmcn1
Rnf113a1	Rnf113a1
Sgsm2	Sgsm2
C1d	C1d
Ppp1r10	Ppp1r10
Mettl16	Mettl16
Kctd20	Kctd20
Ecm2	Ecm2
Gigyf2	AABR07068272.1
Cox5b	Cox5b
Rhox4d	LOC103689929
Brms1l	Brms1l
Vmn2r112	LOC100910798
Rhox4c	LOC103689929
Fam187a	FAM187A
Nceh1	Nceh1
Clvs2	Clvs2
Aamp	Aamp
Comp	Comp
Cox11	Cox11
Nmbr	Nmbr
Ncf1	Ncf1
Vmn2r11	AABR07002209.1
Ldb3	Ldb3
Dars2	Dars2
Rrn3	Rrn3
Cxcr1	Cxcr1
Mtch1	Mtch1
Vmn2r14	AABR07002209.1
Mlph	Mlph
Pnkd	Pnkd
Lss	Lss
Rhox3h	Rhox3
Trdn	Trdn
Vmn2r115	LOC100910798
Galnt17	AABR07035946.1
Cops8	Cops8
Mcc	Mcc
Rhox7a	Rhox2
Casp6	Casp6
Cmtm5	Cmtm5
Lmtk2	Lmtk2
Dop1b	Dop1b
Smlr1	Smlr1
Arhgap24	Arhgap24
H2-M3	RT1-M3-1
Olfr99	Olr1739
Lemd2	LOC108348120
Zar1l	AABR07034923.1
Rrm1	Rrm1
Trim68	Trim68
Kcnk12	Kcnk12
Vmn2r15	AABR07002209.1
Vmn2r8	AABR07002209.1
Ndufa1	LOC108348144
Cul4a	Cul4a
Pxt1	Pxt1
Vmn2r13	AABR07002209.1
Gucy1a2	Gucy1a2
Phf8	Phf8
Wdr92	Wdr92
Gm14496	AABR07002209.1
Serpinc1	Serpinc1
Mcub	Mcub
Upf1	Upf1
Bfar	Bfar
Dxo	Dxo
Vmn2r116	LOC100910798
Rxrb	Rxrb
Actr1b	Actr1b
Zbtb37	Zbtb37
Rhox4a2	LOC103689929
Mapt	Mapt
Arr3	Arr3
Tg	Tg
Chpf2	Chpf2
Kmt2e	Kmt2e
Pigc	Pigc
Krt86	Krt86
Olfr96	Olr1743
Ephb2	Ephb2
Gm11937	Krtap2-4
Gm11937	Krtap2-1
Gm11937	Krtap2-4l
Hspa1b	Hspa1a
Psmb9	Psmb9
Olfr884	Olr1206
Sgpp1	Sgpp1
Ggt1	Ggt1
Atp8b4	AABR07053650.1
Paqr6	Paqr6
Krt25	Krt25
Olfr893	Olr1222
Fasl	Faslg
Krtap1-3	Krtap1-3
Atpif1	Atp5if1
Klhl20	Klhl20
Phldb2	Phldb2
St6galnac3	St6galnac3
Asb10	Asb10
Gm21693	Rbmy1j
Plekhg2	Plekhg2
Asb17	Asb17
Ppa2	Ppa2
Ctdsp1	Ctdsp1
Abcf2	Abcf2
Rnf217	Rnf217
Cenpl	Cenpl
Cyp4f39	Cyp4f39
Slc44a4	Slc44a4
Col11a2	Col11a2
Cd164	Cd164
Ebf1	Ebf1
Kdm5d	Kdm5d
Olfr878	Olr1202
Abhd13	Abhd13
Slfn2	Slfn2
Crnkl1	Crnkl1
4932438A13Rik	RGD1307100
2310061I04Rik	RGD1302996
Fstl5	Fstl5
Fry	Fry
Adgrv1	Adgrv1
Krtap9-3	LOC100365588
Tmprss7	Tmprss7
Krt80	Krt80
Gin1	Gin1
Cul1	Cul1
E2f3	E2f3
Phkg1	Phkg1
Rhbg	Rhbg
Dhx16	Dhx16
Krtap2-4	Krtap2-4
Krtap2-4	Krtap2-1
Krtap2-4	Krtap2-4l
1700037C18Rik	RGD1561796
Exoc2	Exoc2
Exoc2	LOC103689971
Dnah7a	Dnah7
H2-Q7	LOC100364500
Eif2ak1	Eif2ak1
Selenoi	Selenoi
Zfy2	LOC103694540
Med29	Med29
Foxo3	Foxo3
Olfr877	Olr1200
Prdm1	Prdm1
Ccz1	Ccz1b
Zfand4	Zfand4
Tnfsf4	Tnfsf4
Esco2	Esco2
Sumf2	Sumf2
Gm11554	Krtap4-3
Pdgfd	Pdgfd
Zbtb17	Zbtb17
Arl6ip1	Arl6ip1
Ugt2b35	Ugt2b35
Smim3	Smim3
Popdc3	Popdc3
Slc7a3	Slc7a3
Dnah7c	Dnah7
Slc9c1	Slc9c1
Krt12	Krt12
Eloc	AABR07044940.1
Catip	Catip
Spon1	Spon1
Gm10352	Rbmy1j
Lama3	AABR07031193.1
Grasp	Grasp
Zfp11	AABR07036019.1
Ebna1bp2	Ebna1bp2
Ebna1bp2	LOC108348080
H2-Q2	LOC100364500
Pcyt1b	Pcyt1b
Sept14	Sept14
Nr4a1	Nr4a1
Ankrd6	Ankrd6
Nup214	Nup214
H2-Q5	LOC100364500
Ccdc170	Ccdc170
Kdm5c	Kdm5c
Trim32	Trim32
Dcp2	LOC103690064
Tubb5	Tubb5
Slc25a31	Slc25a31
Gm11596	Krtap4-3
Krt39	Krt39
Pola1	Pola1
Nr2c2ap	Nr2c2ap
Olfr90	Olr1750
Wdfy3	Wdfy3
Cyb561	Cyb561
Reg1	Reg1a
Tnfsf13b	Tnfsf13b
Timm10b	Timm10b
Ift172	AABR07063281.1
Zdhhc1	Zdhhc1
Gpr12	Gpr12
Olfr753-ps1	Olr1746
Gpr3	Gpr3
Rasl10b	Rasl10b
Krt24	Krt24
Gm3376	Rbmy1j
Fam160a1	Fam160a1
Krt83	Kb23
Gm11562	Krtap2-4
Gm11562	Krtap2-1
Gm11562	Krtap2-4l
Zfp36	Zfp36
Ggt5	AABR07044631.2
Olfr97	Olr1742
Adgrf3	Adgrf3
Tex11	Tex11
Ippk	Ippk
Zmynd12	Zmynd12
Pcid2	Pcid2
Krt87	Krt83
Rpl9-ps6	LOC100360449
H2-Q6	LOC100364500
Tlr6	Tlr6
Ivns1abp	Ivns1abp
Ankrd45	AC127084.1
Mageb2	Mageb4
Rrh	Rrh
Pou5f2	Pou5f2
Rsc1a1	Ddi2
Sfswap	Sfswap
Hp1bp3	Hp1bp3
Zbtb12	Zbtb12
Far1	Far1
Odam	Odam
Nccrp1	Nccrp1
Luzp2	Luzp2
Drc1	Drc1
2210408I21Rik	RGD1560883
Kif4	Kif4a
Rrp8	Rrp8
Stk17b	Stk17b
Fancm	Fancm
Ace	Ace
Krt26	Krt26
Fyn	Fyn
Ndrg1	Ndrg1
Tmem26	Tmem26
D1Ertd622e	RGD1562136
Gm10256	Rbmy1j
Mageb1	Mageb4
Zfx	Zfx
Gabrb3	Gabrb3
Haus2	LOC691918
Dnajc17	Dnajc17
Gm5072	MGC114483
St3gal1	St3gal1
Rnf6	Rnf6
Mdc1	Mdc1
Tap2	LOC103689996
Pappa	Pappa1
Fkbp3	Fkbp3
Rpa1	Rpa1
Hmgb3	LOC688583
H2-DMb1	RT1-DMb
Olfr95	Olr1744
Lrrtm4	Lrrtm4
Slc39a10	Slc39a10
Cst10	Cst5
Krtap4-13	Krtap4-3
Rps15a	Rps15a
Cers1	Gdf1
Fat4	Fat4
Tmem79	Tmem79
Cntln	Cntln
Krtap4-8	Krtap4-3
Tap1	Tap1
2310003L06Rik	AABR07014573.2
Krt222	Krt222
Olfr888	Olr1213
Pak4	Pak4
Krtap1-5	Krtap1-5
C4b	C4a
Fgb	Fgb
Tnfsf18	Tnfsf18
Hoxa5	LOC103689922
Susd2	Susd2
Gatb	Gatb
Nr2f1	Nr2f1
Cd200	Cd200
Mpv17l	Mpv17l
Olfr883	AC114252.1
Gm8909	LOC100364500
Ncs1	Ncs1
Gm4064	Rbmy1j
Gucd1	Gucd1
Ntan1	Ntan1
Ercc5	Ercc5
Ppp1r18	Ppp1r18
Krt20	Krt20
Grhpr	Grhpr
Gm11569	Krtap4-3
Gckr	Gckr
Adcy9	Adcy9
Bcl2	Bcl2
Tspyl2	Tspyl2
Smg7	Smg7
Gm8914	MGC114483
Kctd18	Kctd18
Smg5	Smg5
Pex12	Pex12
Olfr145	Olr1201
Gm21677	Rbmy1j
Ubap2	Ubap2
Ugt2b36	Ugt2b35
Slc17a7	Slc17a7
H2-K1	LOC100364500
Gm609	LOC685716
Gm609	LOC685767
Armt1	Armt1
Gdf1	Gdf1
Taf15	Taf15
Pms2	Pms2
Aqp3	Aqp3
Krtap3-3	Krtap3-2
Krtap3-3	Krtap3-3
Slfn14	AC118772.1
Gm21708	Rbmy1j
Dpysl5	Dpysl5
Plrg1	Plrg1
Chd9	Chd9
Olfr91	Olr1749
Arpc5	Arpc5
Hc	C5
Il17d	Il17d
Krt27	Krt27
Flt3l	Flt3lg
Atg101	Atg101
Tsacc	Tsacc
Rtn4rl1	Rtn4rl1
Slfn3	Slfn4
Prdx6b	Prdx6
Krtap3-1	Krtap3-1
4931409K22Rik	Iqca1l
Ndufs6	LOC100912599
Ndufs6	LOC679739
Glmp	Glmp
Psph	Psph
Rsph10b	Rsph10b
Nkain2	Nkain2
Nipsnap2	Nipsnap2
Psmb8	Psmb8
Olfr92	Olr1746
Ap2b1	Ap2b1
Gm45799	Timm10b
Bbs9	Bbs9
Olfr703	Olr205
Sry	Sry
Slc17a6	Slc17a6
Fndc4	AABR07063279.1
Gdpd2	Gdpd2
Pspc1	Pspc1
Neu1	Neu1
Sycn	Sycn
2610528J11Rik	RGD1305347
Slpi	LOC103690289
Slpi	LOC103694893
Slpi	Slpil3
Hspa4l	Hspa4l
Gpm6a	Gpm6a
Eif4e3	Eif4e3
Mrps17	Mrps17
Smg6	Smg6
Egf	LOC108348190
Mmp28	Mmp28
Olfr881	Olr1204
Apobec4	Apobec4
Btnl6	Btnl5
Zbtb5	Zbtb5
Zfy1	LOC103694540
Cul3	Cul3
Gfy	Gfy
Fam83d	Fam83d
Fbxw7	Fbxw7
Mmp17	Mmp17
Rps11	Rps11
Nol6	Nol6
Astn2	Astn2
Gcsam	Gcsam
Ift88	Ift88
Intu	Intu
Susd6	Susd6
Kdm4c	Kdm4c
Smarce1	Smarce1
H2-Bl	LOC100364500
Lyrm2	Lyrm2
Dlg3	Dlg3
Lars	Lars
Washc2	Washc2c
Pdk3	Pdk3
Tex21	Tex21
Sh2d2a	Sh2d2a
Mageb18	Mageb18
Iqsec2	Iqsec2
Hspa1a	Hspa1a
Proz	Proz
Sgo2b	Sgo2
Ntrk1	Ntrk1
Olfr885	Olr1206
Srpk2	Srpk2
Arx	Arx
Gabbr1	Gabbr1
Plcxd2	Plcxd2
Tsr1	Tsr1
Hoxa10	LOC100911668
Dph1	Dph1
Gm17783	LOC685716
Gm17783	LOC685767
Krt10	Krt10
H2-DMa	LOC108348072
Ralbp1	Ralbp1
Wisp1	Wisp1
Kcnh6	Kcnh6
Rbmy	Rbmy1j
Adgrl2	Adgrl2
Uba1y	Uba1y
Trim39	Trim39
Sh2d5	Sh2d5
Gm11595	Krtap4-3
Dlc1	Dlc1
Prdx6	Prdx6
Mageb3	Mageb4
Ube2j1	Ube2j1
Paf1	Paf1
Ehmt2	Ehmt2
Gm45713	Gm45713
Ugt2b37	Ugt2b37
Anxa10	Anxa10
Snrpd3	Snrpd3
Esr1	Esr1
Gm21704	Rbmy1j
Stmn1	Stmn1
Krt81	Krt81
Reg3g	Reg3g
Aimp2	Aimp2
Ppip5k2	Ppip5k2
Wasf3	Wasf3
Krtap4-9	Krtap4-3
Ugt2b5	Ugt2b37
Krt7	Krt7
Gm11938	Krtap2-4
Gm11938	Krtap2-1
Gm11938	Krtap2-4l
Usp42	Usp42
Krtap3-2	Krtap3-2
Krtap3-2	Krtap3-3
Mis18bp1	Mis18bp1
Lrit3	Lrit3
Btnl4	Btnl5
Gpr50	Gpr50
Olfr98	Olr1742
Krt88	RGD1305207
Insrr	Insrr
Ubd	Ubd
Hspb7	Hspb7
Dnhd1	Dnhd1
BC016579	LOC685680
Suco	Suco
Zfat	Zfat
Gas2l2	Gas2l2
Ube2r2	Ube2r2
Ugt2b38	Ugt2b37
Grik2	Grik2
Hsf4	Hsf4
Dync1li2	Dync1li2
Eef1akmt1	Eef1akmt1
Arglu1	Arglu1
Npc1	Npc1
Ssx2ip	Ssx2ip
Slfn4	Slfn4
Tmem125	Tmem125
Slf1	Slf1
Nrm	Nrm
Ankrd61	Ankrd61
Mphosph8	AABR07018038.2
Mphosph8	Mphosph8
Adam21	LOC108348202
Adam21	Adam21
Bend4	Bend4
Cope	Cope
Ddi2	Ddi2
Eif4e	Eif4e
Parp4	AABR07018038.1
Traf1	Traf1
Fam172a	Fam172a
H2-Oa	RT1-DOa
Naa20	Naa20
Srr	Srr
4930558K02Rik	RGD1309106
Aldh16a1	Aldh16a1
Ace3	Ace3
Myo16	Myo16
Cdkal1	AABR07027567.1
Irf4	Irf4
Dsel	Dsel
Rpp21	Rpp21
Krt23	Krt23
Flot1	Flot1
Cct3	Cct3
Samd4b	Samd4b
Gar1	Gar1
Rttn	Rttn
H2-Q4	LOC100364500
Acvr1b	Acvr1b
Mdn1	AABR07047789.1
Atat1	Atat1
Krtap4-6	Krtap4-3
Cyth3	Cyth3
Sgo2a	Sgo2
Rpl9	LOC100360449
Ugt2b1	Ugt2b17
Prep	Prep
Mapkap1	AABR07051501.1
Gm29289	Rbmy1j
Gm11564	Krtap4-3
Lrrc75b	Lrrc75b
Esr2	Esr2
Kit	Kit
Nrxn1	Nrxn1
Krt28	Krt28
Krtap1-4	Krtap1-1
Cntnap5a	Cntnap5c
Kdsr	Kdsr
Gpr107	Gpr107
Pdxdc1	Pdxdc1
Slc37a2	Slc37a2
Obscn	Obscn
H2-Q10	LOC100364500
Gm38392	Rhbg
Dnah7b	Dnah7
Krt40	Krt40
Hus1b	LOC103690165
Hus1b	Hus1b
Psma3	Psma3l
H2-D1	LOC100364500
Pdzd11	Pdzd11
Pknox2	Pknox2
H2-Q1	LOC100364500
Slc11a1	Slc11a1
H2-DMb2	RT1-DMb
Galntl5	Galntl5
Olfr698	Olr206
Olfr698	Olr204
Sh3d19	Sh3d19
Mycbp2	Mycbp2
Ltb	Ltb
Mup16	AABR07048474.1
Mup16	LOC298111
Mup16	LOC500473
Mup16	Mup4
Mup16	LOC259244
Mup16	RGD1566134
C4b	C4b
C4b	LOC103689965
Msn	Msn
Fam219b	Fam219b
Zbtb20	Zbtb20
Arap2	Arap2
Cyhr1	Cyhr1
Olfr894	LOC100910822
Gm11559	LOC680396
Gm11559	LOC100910814
Spred3	Spred3
Ar	Ar
Gpsm3	Gpsm3
P2ry14	P2ry14
Atp5j2	Atp5mf
Atp1b1	Atp1b1
Lta	Lta
Zfp449	Zfp449
Gpank1	Gpank1
Dnal1	Dnal1
Ksr2	Ksr2
Dusp14	Dusp14
Hoxc10	Hoxc10
Ccdc88b	Ccdc88b
Egr3	Egr3
Ppfia1	Ppfia1
Ly6e	Ly6e
Dars	Dars
H2-DMb1	LOC108348139
Top1mt	Top1mt
Dclk1	Dclk1
Zfp37	AABR07048419.2
Nsrp1	Nsrp1
Zmym3	Zmym3
Dhfr	Dhfr
Saxo1	Saxo1
Lynx1	Lynx1
Mettl11b	Mettl11b
Wfdc17	Wfdc18
H2-Q6	RT1-CE7
H2-Q6	AABR07044397.1
H2-Q6	RT1-CE5
H2-Q6	RT1-CE1
H2-Q6	RT1-CE4
H2-Q6	RT1-CE3
H2-Q6	AABR07044404.1
H2-Q6	AABR07044383.1
H2-Q6	LOC103690108
Mug2	LOC297568
P2ry13	P2ry13
Spink5	LOC108348103
Spink5	Spink5
Spink5	LOC100910851
Spink5	LOC100911797
Upf2	Upf2
Prss48	Prss48
Sele	Sele
Cntrl	Cntrl
Kcnj4	Kcnj4
Syt17	Syt17
Tshr	Tshr
Nrxn2	Nrxn2
Ercc6l	Ercc6l
Shpk	Shpk
Klhl15	Klhl15
Palm2	Palm2
Palm2	AC134204.1
Smurf1	Smurf1
Fgf16	Fgf16
Usf3	Usf3
Ext1	Ext1
Sft2d2	Sft2d2
Krtap31-2	LOC680428
Krtap31-2	LOC680442
Krtap31-2	Krtap31-1
Ccdc178	Ccdc178
Glycam1	Glycam1
Acbd6	Acbd6
Elavl2	Elavl2
Stx6	Stx6
Ren1	Ren
Nrxn3	Nrxn3
Krt32	Krt32
Uts2	Uts2
Palm	Palm
Fbxl3	Fbxl3
Cyp11b2	Cyp11b3
Mageb16	Mageb16
Bglap	Bglap
Msh5	Msh5
Abhd18	Abhd18
Etnk2	Etnk2
D730001G18Rik	D730001G18Rik
Tnfrsf10b	AABR07018323.1
Krt78	Krt78
Eif4b	Eif4b
Dcp2	LOC100912393
Dbf4	Dbf4
Sap25	Sap25
Krtap29-1	AABR07030471.1
Krtap29-1	AABR07072181.4
Kdelr3	Kdelr3
