Gene name	Golden Hamster gene name
Plekhm1	Plekhm1
Maml1	Maml1
Fadd	Fadd
Zdhhc21	Zdhhc21
Smim14	Smim14
Celf1	Celf1
Hspbp1	Hspbp1
Scrn2	Scrn2
Ltc4s	Ltc4s
Spata31d1b	
Pprc1	Pprc1
Ptpn12	Ptpn12
Nrk	ENSMAUG00000003820
Arhgap27	
Greb1	Greb1
Serpina10	Serpina10
Hist1h2an	
Kif17	Kif17
Gbp2b	Gbp2b
Serinc1	Serinc1
Tmem59	Tmem59
Ncor1	Ncor1
Ugdh	
Spata31d1d	
Olfr786	ENSMAUG00000000157
Pld3	ENSMAUG00000014826
Ighv1-56	ENSMAUG00000005010
Fmn1	Fmn1
Vmn1r74	
Pfn4	ENSMAUG00000009601
Bod1	Bod1
Eea1	Eea1
Gbp7	Gbp7
Atp4b	Atp4b
Sfi1	Sfi1
Emc7	Emc7
Pah	Pah
Spast	Spast
Sh2d5	Sh2d5
Acsm1	Acsm1
Fam228b	Fam228b
Fam149b	Fam149b
Mcts2	
4931406C07Rik	4931406C07Rik
Tdp1	Tdp1
Marcks	ENSMAUG00000014455
Upb1	Upb1
Klf13	
Cep57l1	Cep57l1
Zfp691	Zfp691
Gbp5	Gbp5
Arpp19	Arpp19
Rtl10	Rtl10
Ppip5k2	ENSMAUG00000008533
Ldb1	Ldb1
Gnb1l	Gnb1l
Arl1	Arl1
Sertad2	Sertad2
Hspb8	Hspb8
Ccar1	ENSMAUG00000022270
Phtf1	Phtf1
Hnrnpul1	Hnrnpul1
Scp2d1	Scp2d1
Zfp239	Zfp239
Spta1	Spta1
Rgs7bp	Rgs7bp
Caly	Caly
Tarsl2	Tarsl2
Nup205	Nup205
Blzf1	Blzf1
Ces2g	
Tceanc2	Tceanc2
Gucd1	Gucd1
Sos2	Sos2
Nfkb1	Nfkb1
Cdh9	Cdh9
Olfr1263	
Cnnm4	Cnnm4
Srrm4	Srrm4
BB287469	ENSMAUG00000019719
Olfr1006	
Hmbox1	ENSMAUG00000017893
Aasdhppt	ENSMAUG00000008521
Aasdhppt	ENSMAUG00000003718
AC211878.11	UBL5
Selplg	Selplg
Cfhr1	
Blvra	Blvra
Gm21319	ENSMAUG00000019719
Sntb1	Sntb1
Ccnt2	Ccnt2
Gm21936	ENSMAUG00000019719
Gm2016	ENSMAUG00000019719
Ifne	
Gm15446	
Agap1	Agap1
Fezf2	Fezf2
Map3k21	Map3k21
Tm2d3	Tm2d3
Gm4027	ENSMAUG00000019719
Ap2s1	Ap2s1
Amdhd2	Amdhd2
Fam129a	ENSMAUG00000020193
Gm16381	UBL5
Gm2022	ENSMAUG00000019719
Zfp932	
Rad54l	Rad54l
Psma5	Psma5
Hs3st3b1	Hs3st3b1
Pabpc5	
Whamm	Whamm
Syt2	Syt2
Kit	Kit
Ano1	Ano1
Trav14d-2	
Pnmt	Pnmt
Stom	Stom
Mtfr1	Mtfr1
Fam186a	Fam186a
Slc24a3	Slc24a3
K230010J24Rik	K230010J24Rik
Pnpla2	Pnpla2
Rbpj	Rbpj
Nme7	Nme7
Ppp1r12b	ENSMAUG00000020239
Ppp1r12b	ENSMAUG00000015464
Cacna2d4	Cacna2d4
Snrpd3	Snrpd3
Ldhc	Ldhc
Slco1a6	ENSMAUG00000006842
Slco1a6	ENSMAUG00000016138
Ntmt1	Ntmt1
Rwdd3	Rwdd3
Cd55	ENSMAUG00000014083
Pcnx	Pcnx
Gin1	Gin1
Pde4a	Pde4a
Has2	Has2
Nup210l	Nup210l
Rspo3	Rspo3
Cpeb4	Cpeb4
Gm5592	ENSMAUG00000016920
Lrrc41	Lrrc41
Sbf2	Sbf2
Gm17655	
Rarb	Rarb
Gm35315	
Agtr1a	Agtr1a
Tmem14a	Tmem14a
Atp1b1	Atp1b1
Epb41	
Kctd11	Kctd11
Dock11	ENSMAUG00000020956
Dock11	ENSMAUG00000018288
1110032F04Rik	
Olfr1264	Olfr1264
Hcn2	Hcn2
Cox10	Cox10
Serpina6	Serpina6
Cnnm3	Cnnm3
Hmga2	Hmga2
Olfr837	
Gpatch3	Gpatch3
Fuom	Fuom
Hist1h2ao	
Pipox	ENSMAUG00000020672
Ovol3	Ovol3
AI854703	AI854703
Ppm1a	Ppm1a
Cpped1	Cpped1
Ecsit	ENSMAUG00000008578
Spib	Spib
Ptges2	Ptges2
Slc7a11	Slc7a11
Grk1	Grk1
Sycp1	Sycp1
E330009J07Rik	E330009J07Rik
Top2b	Top2b
Sap18	
Wdr86	Wdr86
Cactin	Cactin
Havcr2	Havcr2
Trim12c	ENSMAUG00000004389
Tsr1	ENSMAUG00000010706
Dgat2	Dgat2
Gm21974	ENSMAUG00000006018
Pomk	Pomk
Prss53	Prss53
Actrt3	Actrt3
Olfr839-ps1	
Wdr62	Wdr62
Utp18	Utp18
Ska3	
Uqcc1	Uqcc1
Lpar1	Lpar1
Hist1h4n	
Ap3b1	Ap3b1
AC163623.2	
Zfp653	Zfp653
Lrrc23	Lrrc23
Prr22	Prr22
Mreg	ENSMAUG00000009925
Tnfrsf11a	Tnfrsf11a
Vkorc1	ENSMAUG00000006018
Gimap8	
Lrtm2	Lrtm2
Csnk1e	Csnk1e
Acsbg2	Acsbg2
Sh3rf1	Sh3rf1
Zfp646	Zfp646
Lmcd1	Lmcd1
Spp1	Spp1
Ints7	Ints7
Olfr843	
Zfp668	Zfp668
Cops5	Cops5
Prap1	Prap1
Cdc123	Cdc123
Ldb2	Ldb2
Hist1h2ap	
Ssbp4	Ssbp4
1600002H07Rik	1600002H07Rik
Nostrin	ENSMAUG00000021843
Kcnk13	ENSMAUG00000009661
Smg6	ENSMAUG00000017203
Fnta	Fnta
Elavl3	Elavl3
Ccdc150	Ccdc150
Clec4d	Clec4d
Nup214	Nup214
Ktn1	Ktn1
Anxa1	Anxa1
Gm10272	ENSMAUG00000002462
Gm10272	ENSMAUG00000021981
Naa11	
Tspear	Tspear
Abcc8	Abcc8
Gk2	
Topors	Topors
Usp1	Usp1
Plcxd1	
Zscan10	Zscan10
Kcnk1	Kcnk1
Ager	Ager
Scrib	Scrib
Asph	
Atp6v0c	
Pias1	Pias1
Ndufb6	Ndufb6
Slmap	Slmap
Tbxa2r	Tbxa2r
Cer1	Cer1
Ighv8-8	
Fcgrt	Fcgrt
Gm3238	ENSMAUG00000012939
Pate3	Pate3
Tas2r140	
Olfr845	
Gm3285	ENSMAUG00000012939
Gm3250	ENSMAUG00000012939
Pate4	Pate4
Sohlh2	Sohlh2
Toporsos	Toporsos
AC158603.4	ENSMAUG00000012939
Sec61a2	ENSMAUG00000014998
Coro1c	ENSMAUG00000017903
Gm10100	ENSMAUG00000002462
Gm10100	ENSMAUG00000021981
AC153874.1	ENSMAUG00000012939
Fsip1	Fsip1
Gm2696	ENSMAUG00000012939
Kbtbd3	Kbtbd3
Tbx20	Tbx20
Pate1	Pate1
Eif4enif1	Eif4enif1
Rtcb	
AC153864.3	ENSMAUG00000012939
Gm10142	ENSMAUG00000002462
Gm10142	ENSMAUG00000021981
Gtpbp6	
Spsb2	Spsb2
Gm3233	ENSMAUG00000012939
Tada3	Tada3
Pus3	Pus3
Cspp1	Cspp1
Tbc1d24	Tbc1d24
Gm10024	ENSMAUG00000002462
Gm10024	ENSMAUG00000021981
Mymk	Mymk
Gm9507	ENSMAUG00000012939
Krtap12-1	ENSMAUG00000002462
Krtap12-1	ENSMAUG00000021981
Nup35	ENSMAUG00000013776
Igkv14-111	
Shisa9	Shisa9
Tpi1	ENSMAUG00000008768
Tpi1	ENSMAUG00000008452
Rcn3	Rcn3
Gm7137	ENSMAUG00000012939
Pate2	Pate2
Msantd4	Msantd4
Olfr1265	ENSMAUG00000008717
Olfr1265	ENSMAUG00000006795
Gpr176	Gpr176
Cbr1	ENSMAUG00000000721
Gm19402	ENSMAUG00000012939
Ascl4	
Srr	Srr
Rsbn1	Rsbn1
Antxr2	Antxr2
Krtap10-4	ENSMAUG00000012939
Klrc3	ENSMAUG00000006550
Klrc3	ENSMAUG00000014060
Gm7138	ENSMAUG00000012939
Drc7	Drc7
Dip2b	Dip2b
Ighv1-58	ENSMAUG00000005010
Olfr1008	
Gm10318	ENSMAUG00000012939
Ipo13	Ipo13
Gm19668	ENSMAUG00000012939
Rhod	Rhod
Krtap10-10	ENSMAUG00000012939
Ankrd35	Ankrd35
Zfp37	Zfp37
AC158603.3	ENSMAUG00000012939
Hyls1	Hyls1
Ighv1-59	ENSMAUG00000007440
Nrcam	ENSMAUG00000004823
Cc2d1a	Cc2d1a
Nudt5	Nudt5
Itgb5	Itgb5
2810474O19Rik	2810474O19Rik
Ift80	ENSMAUG00000002847
Klhl32	ENSMAUG00000021567
Syt12	Syt12
Fzd4	Fzd4
Mtap	Mtap
Dusp19	ENSMAUG00000017669
Tnip2	Tnip2
Gas6	Gas6
Lad1	Lad1
Birc5	Birc5
Cetn2	Cetn2
Heph	Heph
Tmem70	
Sort1	Sort1
Ddost	Ddost
Rnf180	Rnf180
Ssu2	Ssu2
Serpina7	Serpina7
Pold1	Pold1
Tmem255b	ENSMAUG00000011956
Ppp1r9b	Ppp1r9b
Nexn	Nexn
Gpn2	Gpn2
Olfr846	
Tmem235	Tmem235
Isca1	ENSMAUG00000000645
Crygn	Crygn
Dnajc27	Dnajc27
Olfr482	
Ect2l	Ect2l
Slc35f3	Slc35f3
Sez6	Sez6
Tmem98	Tmem98
Plk1	Plk1
Utp20	ENSMAUG00000011898
Olfr483	
Fam78a	Fam78a
Olfr484	
Clec4e	Clec4e
Nap1l2	Nap1l2
Dvl2	ENSMAUG00000000497
Zcchc6	Zcchc6
Rfwd2	Rfwd2
Gpc5	Gpc5
Nip7	Nip7
Trav3d-3	
Lrp11	Lrp11
Nr1i2	Nr1i2
Tph2	Tph2
Suds3	Suds3
Dusp11	Dusp11
Vim	Vim
Tarbp1	Tarbp1
Hnrnpf	Hnrnpf
Mbtd1	Mbtd1
Olfr1269	ENSMAUG00000008717
Olfr1269	ENSMAUG00000006795
Gcnt2	Gcnt2
Uhmk1	Uhmk1
Prkx	Prkx
Klrc2	ENSMAUG00000006550
Klrc2	ENSMAUG00000014060
Vmn1r75	
Crem	Crem
Pgap3	Pgap3
Hspa5	Hspa5
Coa6	Coa6
Nol10	Nol10
Vezt	Vezt
Rin2	Rin2
Gm12169	ENSMAUG00000007758
Ermp1	Ermp1
H2afb3	
2210408I21Rik	2210408I21Rik
Ncaph2	ENSMAUG00000013053
Dlx6	Dlx6
Pcdh11x	Pcdh11x
Pak1ip1	
Srm	Srm
Aurkb	Aurkb
Pkib	
Slc6a2	Slc6a2
Lilra5	Lilra5
2700081O15Rik	2700081O15Rik
Sfn	Sfn
Vmn1r76	
Olfr1268-ps1	Olfr1268-ps1
Gstm5	Gstm5
Olfr1267-ps1	ENSMAUG00000008717
Olfr1267-ps1	ENSMAUG00000006795
Ighv1-61	ENSMAUG00000007440
T	T
Frem1	Frem1
Skor1	Skor1
Mogat2	Mogat2
Myb	Myb
Slc6a6	
Gipc3	Gipc3
Prss23	Prss23
Mum1l1	Mum1l1
Pan2	Pan2
H3f3b	H3f3b
Olfr398	
Acadvl	Acadvl
Socs3	Socs3
Cbr4	Cbr4
Gria4	ENSMAUG00000016775
Pecr	Pecr
Ppp4c	Ppp4c
Zcchc2	Zcchc2
Mycn	Mycn
Spock1	Spock1
Igf1	Igf1
Hs3st3a1	Hs3st3a1
Sema3a	Sema3a
Kif5b	Kif5b
Htr1a	Htr1a
AI987944	
Gzmb	Gzmb
Iapp	Iapp
Ly96	ENSMAUG00000017395
Crygf	ENSMAUG00000015143
Crygf	ENSMAUG00000022028
Olfr32	
Acox2	Acox2
Olfr788	
Slco1a5	ENSMAUG00000006842
Slco1a5	ENSMAUG00000016138
Dpysl5	Dpysl5
Mdfi	Mdfi
Gm43796	Gm43796
Pink1	Pink1
Abce1	ENSMAUG00000006512
Abce1	ENSMAUG00000017631
Alkbh7	Alkbh7
Diras2	Diras2
Rbbp4	Rbbp4
H2-T3	ENSMAUG00000010143
Dnah17	Dnah17
Pnp	ENSMAUG00000015711
Tbc1d15	Tbc1d15
Atp12a	Atp12a
Eps8l3	Eps8l3
Acap1	Acap1
Rpn1	Rpn1
Ccdc28a	Ccdc28a
Alcam	Alcam
Sf3a1	Sf3a1
Pnp2	ENSMAUG00000015711
Aftph	Aftph
Sync	Sync
Echs1	Echs1
Slamf6	Slamf6
Drg1	ENSMAUG00000018239
Kcnmb2	Kcnmb2
Npl	ENSMAUG00000014716
Aspscr1	Aspscr1
Aff3	ENSMAUG00000013003
Dpy19l3	Dpy19l3
2700060E02Rik	2700060E02Rik
Cdhr2	Cdhr2
Spink14	Spink14
Map6	Map6
B3gnt7	B3gnt7
Fam149a	Fam149a
Gm6657	ENSMAUG00000021703
Gm6657	ENSMAUG00000014485
Zbtb7a	Zbtb7a
Paox	Paox
Nsdhl	Nsdhl
Ercc4	Ercc4
Hcfc1r1	Hcfc1r1
Psmc1	ENSMAUG00000019744
Nid2	Nid2
Tmtc2	Tmtc2
Asb6	Asb6
Ermap	Ermap
Vps25	Vps25
Thoc6	Thoc6
Col9a1	Col9a1
Snx25	Snx25
Ighv1-62-1	ENSMAUG00000005010
Ddx5	Ddx5
1600002K03Rik	1600002K03Rik
Ncr1	Ncr1
Ncmap	Ncmap
Ptcd3	Ptcd3
Map3k19	Map3k19
Maats1	Maats1
Rheb	ENSMAUG00000014570
Serpina1f	Serpina1f
Chrm5	Chrm5
Cgnl1	Cgnl1
Prkcg	Prkcg
Olfr790	
Tsg101	Tsg101
Vash1	Vash1
Csrnp3	Csrnp3
Pgs1	Pgs1
Olfr267	Olfr267
Olfr693	
Vps72	Vps72
Olfr1013	
Tcp11	ENSMAUG00000013869
Tcp11	ENSMAUG00000020125
Brsk1	Brsk1
Dlx5	Dlx5
Lrrc46	Lrrc46
Prpf8	ENSMAUG00000014365
Cc2d2b	Cc2d2b
Olfr1014	
Arhgef38	ENSMAUG00000000124
Syk	Syk
Anxa6	Anxa6
Smn1	Smn1
Palld	ENSMAUG00000018482
Numa1	Numa1
Lrp1b	Lrp1b
Alb	Alb
Pcsk1	Pcsk1
Ern2	Ern2
Olfr694	ENSMAUG00000008008
Stoml2	Stoml2
AW146154	
Klrc1	ENSMAUG00000006550
Klrc1	ENSMAUG00000014060
Gp6	Gp6
Myadm	Myadm
Ncam2	Ncam2
Cpsf4l	ENSMAUG00000019519
Serpine2	Serpine2
Slc1a5	Slc1a5
Zfp184	
Ces2h	Ces2h
Id1	Id1
Rhcg	Rhcg
Nox3	Nox3
Spaca9	Spaca9
Cfap97	Cfap97
Irf2bp2	Irf2bp2
Cdx4	Cdx4
Homer2	Homer2
Cox4i2	Cox4i2
Bpifc	Bpifc
Trav5d-4	
Lama4	Lama4
Ttll3	Ttll3
Ramp2	Ramp2
Cav3	Cav3
Mecp2	Mecp2
Gimap9	ENSMAUG00000009981
Pla2g16	Pla2g16
Unk	Unk
Fam96a	ENSMAUG00000015427
Fam96a	ENSMAUG00000021107
Tarbp2	Tarbp2
Cenpo	Cenpo
Tmem150b	Tmem150b
Adamtsl2	
Pet100	Pet100
Skap2	ENSMAUG00000002622
Skap2	ENSMAUG00000007284
Gm5678	ENSMAUG00000000721
Tmed6	Tmed6
Smim10l1	
Csmd1	Csmd1
Xkr4	Xkr4
Trim30c	ENSMAUG00000002714
Trim30c	ENSMAUG00000005493
Cbr3	Cbr3
Mynn	Mynn
Aven	ENSMAUG00000021719
Jph1	Jph1
Tmem56	ENSMAUG00000000681
Terf2ip	
Ssh1	Ssh1
Olfr1270	
Zdhhc18	Zdhhc18
Dusp10	Dusp10
Pcp2	Pcp2
Rabepk	Rabepk
Ccdc153	Ccdc153
Ghr	Ghr
Fmnl2	Fmnl2
Cachd1	Cachd1
4930524B15Rik	4930524B15Rik
Trappc3	Trappc3
Dapk2	Dapk2
Cdh10	Cdh10
Kifc3	Kifc3
Ptprz1	Ptprz1
Il18bp	Il18bp
Spaca3	Spaca3
Adcy3	Adcy3
Mien1	Mien1
Gm2035	ENSMAUG00000019719
Nsg2	ENSMAUG00000019781
Ryr3	Ryr3
Mrpl57	Mrpl57
Opn1mw	Opn1mw
H2-K1	ENSMAUG00000010143
Erbb2	Erbb2
Msrb3	Msrb3
Arpc4	ENSMAUG00000012798
Col8a2	Col8a2
Fbxw2	Fbxw2
Strn4	Strn4
Trav6d-7	
Prdm8	Prdm8
Gpr4	Gpr4
Edem3	Edem3
Muc1	Muc1
Ptprd	Ptprd
Gtf2e2	Gtf2e2
Lrrc25	Lrrc25
Wee2	Wee2
Polrmt	Polrmt
Opa3	Opa3
Morc3	Morc3
Terf2	Terf2
Gdf15	Gdf15
C920008G01Rik	
Zdhhc5	Zdhhc5
Sh3bp2	Sh3bp2
Elac2	Elac2
Grm8	ENSMAUG00000003483
Ccnj	Ccnj
Trav13d-3	
Carmil1	Carmil1
Tmem169	Tmem169
Eif4ebp3	Eif4ebp3
Oxtr	Oxtr
Smim18	Smim18
Pgpep1	ENSMAUG00000020690
Tonsl	Tonsl
Ankhd1	Ankhd1
Foxe1	
Trav8d-2	
Acat2	
Trim30a	ENSMAUG00000002714
Trim30a	ENSMAUG00000005493
Mettl21c	Mettl21c
Trav16d-dv11	
Tnfaip1	Tnfaip1
Gpr155	Gpr155
Gpc6	Gpc6
Cda	Cda
Ighv8-9	
Spc25	Spc25
1700029H14Rik	1700029H14Rik
Sh2d1b2	
Chic1	Chic1
Krtcap2	Krtcap2
Il9r	Il9r
Olfr419	Olfr419
Trps1	ENSMAUG00000019278
Sh2d1b1	
Ppara	ppara
Zhx2	Zhx2
Efna2	Efna2
Mkl2	Mkl2
Parp6	
Gpcpd1	ENSMAUG00000015693
Gpcpd1	ENSMAUG00000019489
Traf7	Traf7
Selenoh	Selenoh
Fam43b	
Lgals12	Lgals12
Sf3b6	Sf3b6
Samd14	Samd14
Wdr20	ENSMAUG00000020978
Trim46	Trim46
Gbx2	Gbx2
Naa20	Naa20
St8sia6	ENSMAUG00000008670
Vrk2	Vrk2
Pias4	Pias4
Ntf3	Ntf3
Serpina1d	Serpina1
Ctnnd1	ENSMAUG00000020035
Srgap2	Srgap2
Serpina1b	Serpina1
Fbxo7	Fbxo7
Pde7a	Pde7a
Olfr1015	
Myo5a	Myo5a
Pde4d	Pde4d
BC053393	ENSMAUG00000007758
Olfr1016	
Ipo11	Ipo11
Pcx	Pcx
Zfp800	Zfp800
Sesn1	Sesn1
Ddx1	ENSMAUG00000016156
Olfr417	
Map2k5	Map2k5
Fancl	Fancl
Ptrhd1	Ptrhd1
Asb18	Asb18
Hmg20b	Hmg20b
Col6a1	ENSMAUG00000020615
Gphn	Gphn
Kcna5	Kcna5
Sdhaf3	Sdhaf3
Kcna1	Kcna1
