Gene name	BMR gene name
Tmem211	Tmem211
Il10rb	
A430078G23Rik	
Fam129a	
Amy2a2	
Gosr2	
Agbl2	Agbl2
Sostdc1	Sostdc1
Cyp2d9	
Ifrd2	Ifrd2
Mrps35	Mrps35
Il20rb	Il20rb
Kcnq3	Kcnq3
Aida	Aida
5330417C22Rik	5330417C22Rik
Fuca1	Fuca1
Bdh2	Bdh2
Poldip3	Poldip3
Topbp1	
Ccdc190	Ccdc190
Cntn4	Cntn4
Uchl4	
Myo15	Myo15
Aldh1b1	Aldh1b1
Ppbp	Ppbp
Gripap1	Gripap1
Pkp4	Pkp4
Cdk1	Cdk1
Gm11634	Gm11634
Coa4	Coa4
Amy2a3	
Jup	Jup
Cyp2d40	
Sprr1b	Sprr1b
Tmem123	
Il7r	Il7r
Tab3	Tab3
Amy2a1	
Hunk	
Scaper	Scaper
Grm5	Grm5
Cyp2d12	
Ska3	Ska3
Ppp6c	
Pla2g2e	Pla2g2e
Aldh6a1	Aldh6a1
Pa2g4	Pa2g4
Aknad1	
2510002D24Rik	
Dpysl5	Dpysl5
Jakmip1	Jakmip1
Fam19a5	Fam19a5
Unc45b	Unc45b
Chrdl2	Chrdl2
Ttc9	Ttc9
Rfc4	
Msmp	Msmp
Dusp4	Dusp4
S1pr2	S1pr2
Zfp800	
Nsmaf	Nsmaf
Sbk2	Sbk2
Yipf7	Yipf7
Lmbr1l	Lmbr1l
Smtn	Smtn
Amy2a4	
Pdia3	Pdia3
Gm28539	
Lyzl1	Lyzl1
Crisp2	
Cyp2d11	
Mapkapk3	Mapkapk3
Hadha	Hadha
Zmpste24	Zmpste24
Cox6b2	Cox6b2
Myl2	Myl2
Snrpn	Snrpn
Npm3	
Cdkn3	Cdkn3
Gstp3	Gstp3
Stambp	Stambp
Rpp25l	Rpp25l
Gm21970	
Slc25a4	Slc25a4
Ksr2	Ksr2
Acvr2b	Acvr2b
Surf4	Surf4
Mmp24	Mmp24
Arpc4	
Bhlhe23	Bhlhe23
Cyp2d34	
Stx18	Stx18
Alms1	Alms1
Pram1	Pram1
Ccdc152	Ccdc152
Mrps28	Mrps28
Ttll5	
Fbxo39	Fbxo39
Polg	
Hdhd2	Hdhd2
Rgs2	Rgs2
Stk24	Stk24
1700025G04Rik	1700025G04Rik
Mcl1	Mcl1
Ube4a	Ube4a
Exoc5	Exoc5
Mef2c	Mef2c
Ccdc180	Ccdc180
Msc	Msc
Cyp2d10	
Ppp2r2c	Ppp2r2c
Slc45a3	
Foxa2	Foxa2
1110051M20Rik	1110051M20Rik
Vegfb	
Nppa	Nppa
Fam72a	Fam72a
Vmn1r127	
Nlrc4	Nlrc4
Vmn1r177	
Vmn1r167	
Plch1	Plch1
Med21	Med21
Gm8720	
Vmn1r149	
Vmn1r61	
Vmn1r173	
Mtmr10	
Mgat5	Mgat5
Trappc12	Trappc12
Vmn1r130	
Vmn1r170	
Tmbim6	
Gm8693	
Pcif1	Pcif1
Olfr1252	
Vmn1r94	
Vmn1r62	
Mesp2	Mesp2
Gm16442	
Adad2	Adad2
Vmn1r107	
Gm8653	
Vmn1r148	
Vmn1r179	
Atg4d	Atg4d
Strip1	Strip1
Mrpl40	Mrpl40
Olfr545	Olfr7
Vmn1r142	
Vmn1r137	
Vmn1r183	
Igkv2-137	
Vmn1r126	
Gm4133	
Olfr1247	
Ighg2b	
Angptl3	Angptl3
Reck	Reck
Dnajc3	Dnajc3
Vmn1r171	
Necap2	Necap2
Vmn1r117	
Vmn1r151	
Vwa2	Vwa2
Chrac1	Chrac1
Ighg1	
Ereg	Ereg
Stpg1	Stpg1
Dennd2d	Dennd2d
Snap91	Snap91
Vmn1r166	
Pgk2	
5031439G07Rik	5031439G07Rik
Ppard	Ppard
Vmn1r169	
Cdc6	Cdc6
Igkv2-112	
Vmn1r114	
Gm10665	
Vmn1r113	
Kat6b	
Ighg3	
Gm8453	
Akr1c14	Akr1c14
Vmn1r93	
Vmn1r165	
Bhlhe40	Bhlhe40
Gm4175	
Vmn1r176	
Aqp5	Aqp5
Tpbgl	Tpbgl
Ankrd34b	Ankrd34b
Vmn1r112	
Vmn1r180	
Zfand1	Zfand1
Kbtbd4	Kbtbd4
Vmn1r132	
Gm4201	
Vmn1r128	
Zdhhc12	Zdhhc12
Hmcn2	Hmcn2
Ankrd22	Ankrd22
Vmn1r139	
Gm4177	
Brms1	Brms1
Atp5j2	
Vmn1r100	
Jrk	Jrk
Pglyrp4	Pglyrp4
Gm5728	
Impact	Impact
Gm4141	
Slc27a4	Slc27a4
Vmn1r120	
Gm6164	
Slc39a5	Slc39a5
Siglec1	Siglec1
Rfx4	Rfx4
Ntng2	Ntng2
Vmn1r159	
Gm4214	
Vmn1r63	
Cpa4	Cpa4
Catspere2	
Sh3bp1	Sh3bp1
Vmn1r181	
Vmn1r90	
A4gnt	A4gnt
Vmn1r65	
Gm4216	
Rfc5	Rfc5
Ucp3	
Tent5a	Tent5a
Gm8660	
Vmn1r115	
Vmn1r125	
D230025D16Rik	D230025D16Rik
Amph	Amph
Vmn1r163	
Olfr1250	
Gm4498	
Tbl1x	Tbl1x
Olfr1248	
Gtf2ird1	Gtf2ird1
Vmn1r143	
Pla2g2a	Pla2g2a
Mpp7	Mpp7
Abca13	
Coq10a	Coq10a
Crh	Crh
Vmn1r152	
Vmn1r129	
Vmn1r58	
Trib3	Trib3
V1rd19	
Gpsm1	Gpsm1
Ogfrl1	
Vmn1r64	
Vmn1r168	
Vmn1r95	
Cers6	Cers6
Copb2	Copb2
Vmn1r186	
Ggnbp1	Ggnbp1
P3h4	P3h4
Vmn1r116	
Cul1	Cul1
Osbpl2	Osbpl2
Vmn1r172	
Vmn1r155	
Vmn1r56	
Vmn1r158	
Vmn1r175	
Vmn1r135	
Vmn1r118	
Gm16451	
Creb3l1	Creb3l1
Aatf	Aatf
Rp9	Rp9
Vmn1r123	
Vmn1r91	
Kirrel	Kirrel
Hjurp	
Gjd2	Gjd2
Vmn1r60	
Plekhg5	Plekhg5
Vmn1r103	
Vmn1r122	
Vmn1r121	
Gm10666	
Vmn1r160	
Gm5726	
Gm20730	
Vmn1r111	
Dkk4	Dkk4
Btaf1	Btaf1
Vmn1r138	
Vmn1r55	
Vmn1r59	
Vmn1r131	
Trem2	Trem2
Chdh	Chdh
Iyd	Iyd
Smagp	Smagp
Olfr544	Olfr7
Ighg2c	
Gm8677	
Crk	Crk
G6pc	G6pc
Ythdf1	Ythdf1
Cideb	Cideb
Ankrd10	Ankrd10
Gm5725	
Zfp408	Zfp408
Lpcat2	Lpcat2
Cdk16	Cdk16
Hcst	Hcst
Matn3	Matn3
Vmn1r178	
Gm20498	Gm20498
P2rx2	P2rx2
Abracl	
Fam169a	Fam169a
Tert	Tert
Notch2	Notch2
Gm4187	
Zmynd19	Zmynd19
Fam189a1	
Igsf9b	Igsf9b
Vmn1r57	
Agtpbp1	Agtpbp1
Vmn1r157	
Vmn1r124	
Vmn1r119	
Vmn1r101	
Synrg	Synrg
Anpep	Anpep
Vmn1r174	
Gm29644	
Pigo	Pigo
Epn3	Epn3
Rpgr	
Cd72	Cd72
S100g	S100g
Dusp23	Dusp23
Gm20815	
Sept7	Sept7
Arrdc4	Arrdc4
Tmem43	Tmem43
Lrfn5	Lrfn5
Gpr61	Gpr61
Amy1	
Pdp1	Pdp1
Gm21454	
Prkaa2	Prkaa2
Ralgapb	
Repin1	Repin1
Fgd1	Fgd1
Prdm14	Prdm14
Olfr1283	
Puf60	Puf60
Fpr2	
Commd10	Commd10
Tmem269	Tmem269
Synj1	Synj1
Gm20877	
Hddc3	
Casp7	Casp7
Serinc5	Serinc5
Smarca5	Smarca5
Olfr464	
Mansc4	Mansc4
Mdga2	Mdga2
Fndc5	Fndc5
Spink8	Spink8
Lipk	Lipk
Dnah5	Dnah5
Srp14	
Gm20777	
Hrasls5	Hrasls5
Mpzl2	Mpzl2
Tyw3	
Gm20909	
Rfk	Rfk
Trnt1	Trnt1
Olfr427	Olfr427
Dars2	Dars2
Plxdc2	Plxdc2
Fam149a	Fam149a
Zfp410	Zfp410
Plac8	Plac8
Tbc1d19	Tbc1d19
Rgs13	Rgs13
Mrpl36	Mrpl36
Gm20825	
Fen1	Fen1
Tagln2	Tagln2
Nlrp4b	
Tff1	Tff1
Atraid	Atraid
Cyp3a59	
Lce3e	
Ssty1	
Ppp2r2b	Ppp2r2b
Smarcad1	Smarcad1
Cx3cr1	Cx3cr1
Cyp3a25	
Clta	Clta
Ccdc136	Ccdc136
Tmem258	Tmem258
Tinf2	Tinf2
Rps7	
Rara	Rara
Sympk	Sympk
Tmem147	Tmem147
Lce3f	
Antxr1	Antxr1
Fhl3	Fhl3
Nlrp4f	
Xkr8	Xkr8
Paqr6	Paqr6
Ccnh	
Tdg	Tdg
Prrc2b	Prrc2b
Ascc3	Ascc3
Fosl1	Fosl1
Tpp1	Tpp1
Gm20831	
Pnp2	
Rb1cc1	
Dppa1	
Ankrd37	Ankrd37
Tenm2	Tenm2
Gm21783	
Bad	Bad
Nphp3	Nphp3
Vsig2	Vsig2
Atp6ap1l	Atp6ap1l
Eif4a2	Eif4a2
Prr11	Prr11
Lrmp	Lrmp
Lce3d	
Fancc	
Gm5926	
Uxt	Uxt
Mfap3	Mfap3
Spen	Spen
Gm49342	
Acap2	Acap2
Actc1	Actc1
Nlrp4e	
Atp11c	Atp11c
Prlh	Prlh
Cdk7	Cdk7
Bloc1s6	Bloc1s6
Gm21118	
Immp2l	Immp2l
Gm3448	
AA986860	AA986860
Tnpo2	Tnpo2
Cyb5r4	
Ssty2	
Npnt	Npnt
Arl6	Arl6
Letm1	Letm1
Glud1	Glud1
Gm20924	
Cd209g	
Sdf2l1	Sdf2l1
Gm20826	
Pclo	Pclo
Sec11a	Sec11a
Prickle3	Prickle3
Gnl1	Gnl1
Eif4e3	Eif4e3
Olfr1280	
Gm20773	
Ice2	Ice2
Med14	Med14
Chd3	Chd3
Hmox2	Hmox2
Zpbp	Zpbp
Gpr137b	Gpr137b
Nop10	Nop10
Usp36	Usp36
Tapbp	Tapbp
Tmem98	Tmem98
Star	
Otop1	Otop1
Gzmb	
Spin2f	
Cbln4	Cbln4
Cdkl2	Cdkl2
Plb1	Plb1
Idh3a	Idh3a
Rfwd3	Rfwd3
Prdm10	Prdm10
Olfr1281	
Hspa1l	Hspa1l
Trmt44	Trmt44
Olfr1282	
P3h2	P3h2
Miga2	Miga2
Myot	Myot
Piga	Piga
Habp2	Habp2
Tmem140	Tmem140
Pkia	Pkia
Slc36a3	Slc36a3
Bid	Bid
Palm3	Palm3
Gm21637	
B4gat1	B4gat1
Hhat	Hhat
Insm2	Insm2
Fpr-rs7	
Yipf5	Yipf5
Rev1	Rev1
Sdad1	Sdad1
Ptgfr	Ptgfr
Idi1	
Shroom4	
Gm21854	
Rergl	Rergl
Dapl1	Dapl1
Slitrk6	Slitrk6
Sftpd	Sftpd
Tcf15	Tcf15
Anp32b	
Lrriq3	
Rtn3	
Gm21394	
Olfr1287	
Gm20715	
Gm21778	
Dzip1	Dzip1
Sept4	Sept4
Gm21874	
Samd12	
Mptx1	
Olfr1286	
Kras	Kras
Dhdds	Dhdds
Capn7	Capn7
Fam184b	Fam184b
Ppm1l	Ppm1l
Filip1l	Filip1l
Trak2	
Ppp6r1	
Aqp6	Aqp6
Rprd1b	Rprd1b
Pou5f2	Pou5f2
Dcaf12	Dcaf12
Mafa	Mafa
Rbl1	Rbl1
L1td1	L1td1
Cs	
Gzmc	
Dusp26	Dusp26
Sepsecs	Sepsecs
Pi4kb	Pi4kb
Slc10a6	Slc10a6
Gm20914	
Slc47a1	
Ggcx	Ggcx
Gpx2	Gpx2
Copz1	Copz1
Map3k5	Map3k5
Gbp3	Gbp3
Atp9a	Atp9a
Gm20821	
Smim17	
Gm20830	
Gm20867	
Als2cr12	Als2cr12
Crls1	Crls1
Eri3	Eri3
Lrrc9	Lrrc9
Slc34a2	Slc34a2
Jag2	Jag2
Zar1	Zar1
Saysd1	Saysd1
Bik	Bik
Cdh11	Cdh11
Gm20852	
Cdc42ep2	Cdc42ep2
Gm21244	
Shb	Shb
Dgkb	Dgkb
Cish	Cish
Dennd5b	Dennd5b
Psip1	
Ccdc85b	Ccdc85b
Bcat1	Bcat1
Parvb	
Fam102b	Fam102b
Rcn2	Rcn2
Pin4	
Ssh3	Ssh3
Cacybp	
Rars	Rars
Hars2	Hars2
Gm33815	
Dusp14	Dusp14
Plscr2	
Cdca8	Cdca8
Fam149b	Fam149b
2700062C07Rik	2700062C07Rik
Rab39b	Rab39b
Mterf2	Mterf2
Tmem37	Tmem37
Rogdi	Rogdi
Gm20795	
Mrpl42	Mrpl42
Cd5l	Cd5l
Caps2	
Clybl	Clybl
Gm20822	
Fpr-rs4	
Dmtn	Dmtn
Anxa1	
Tada2b	Tada2b
Brf1	Brf1
Cd209f	
Gm21440	
Cyp3a57	
Rictor	Rictor
Gm20738	
Tcte3	
Ost4	Ost4
Thoc5	Thoc5
Efnb3	Efnb3
Zbed3	Zbed3
Vti1b	
Tmem126a	Tmem126a
Hmx3	Hmx3
Galnt17	Galnt17
Fancg	Fancg
Lce3c	
Gm21292	
Gm20809	
Fsip2	Fsip2
Gm20823	
Clec1b	Clec1b
Krt77	Krt77
Asic1	Asic1
Pecam1	Pecam1
Axdnd1	Axdnd1
Spin2d	
Ikzf4	Ikzf4
Tbc1d15	Tbc1d15
Hdac8	Hdac8
Gm21425	
Gm28171	
Prkcd	Prkcd
Fnbp4	Fnbp4
Cdpf1	Cdpf1
Hand1	Hand1
Gm21721	
Kif7	Kif7
Fpr-rs6	
Kctd17	Kctd17
Cttnbp2	Cttnbp2
Cat	Cat
Shisa5	Shisa5
Etfa	Etfa
Gm29049	
Slc5a9	
Spin2c	
Atp6v1c2	Atp6v1c2
Tmco5	Tmco5
Fpr3	
Cfap57	Cfap57
Coch	Coch
Arc	Arc
Celf4	Celf4
Gm20772	
Napa	Napa
Evpl	Evpl
Zfp428	Zfp428
Cab39l	Cab39l
Klhl42	Klhl42
Adal	Adal
Mad1l1	Mad1l1
Ergic3	Ergic3
Gm12728	
Mptx2	
Actrt3	Actrt3
Hic2	Hic2
Olfr1348	Olfr1348
Sh2d6	Sh2d6
Ube2w	Ube2w
Gm3417	
Usp27x	Usp27x
Leprot	Leprot
Gm20918	
Tfeb	Tfeb
Zfp263	Zfp263
Exoc1	Exoc1
Slc17a5	Slc17a5
Pik3c2g	
Gak	
Vhl	Vhl
Trpd52l3	
Rbm17	Rbm17
Lcp1	Lcp1
Sbspon	Sbspon
Rnaseh2b	
Pnn	
Gm20812	
Spopl	Spopl
Brwd1	
Kri1	Kri1
Cacnb4	Cacnb4
Fam25c	Fam25c
Dleu7	Dleu7
Dao	Dao
Nxt1	Nxt1
Spin2-ps6	
Crip1	Crip1
Cdk5rap3	
Nfe2l1	Nfe2l1
Rcc1	Rcc1
Odf1	Odf1
Nxpe2	Nxpe2
Csl	
Gm20737	
Mettl3	Mettl3
Spin2g	
Myo1e	Myo1e
Gm21943	
Plod1	
Gm20865	
Spin2e	
Mpv17	Mpv17
Sept11	Sept11
H2-T24	H2-T24
Gm20828	
Kcnk5	Kcnk5
Hmgxb4	
Cox7a2	Cox7a2
Pnp	
Tnks	Tnks
Ogfr	Ogfr
Cntfr	Cntfr
Cdip1	
Gm20807	
Rad17	Rad17
Asah2	Asah2
Eif5a2	Eif5a2
Nlrp4a	
Adamtsl4	Adamtsl4
Ep300	Ep300
Pgam1	Pgam1
Hmgcr	Hmgcr
Mef2a	Mef2a
Arg1	Arg1
Ak8	Ak8
Vnn1	Vnn1
Olfr418	
Ell3	Ell3
Apof	Apof
Chrna5	Chrna5
Lce3a	
Dnase1l2	Dnase1l2
Wdr77	
Defb33	Defb33
Robo1	Robo1
AC102264.1	
Spint1	Spint1
Nsrp1	
Btbd9	Btbd9
Il22ra2	Il22ra2
Qrich1	Qrich1
Bcar3	
Reep3	Reep3
Eif4h	Eif4h
Xirp1	Xirp1
Sfxn1	Sfxn1
Vash2	Vash2
Mrap2	Mrap2
Spag6l	Spag6l
Ppia	
Ccr9	Ccr9
Gtf2i	Gtf2i
Plscr1	
Lrp1b	Lrp1b
Vmn1r196	Vmn1r196
Tbx5	Tbx5
Slc10a1	Slc10a1
Isg20l2	Isg20l2
Gm20873	
Fmo4	Fmo4
Zfp105	Zfp105
Gins1	Gins1
Hemk1	Hemk1
Hectd4	Hectd4
Kank3	Kank3
Dcaf6	Dcaf6
Gm20834	
Gm28079	
Gm20917	
Prkci	Prkci
Gm20816	
Eif6	Eif6
Tacr2	Tacr2
Ppp1r13l	Ppp1r13l
Sssca1	Sssca1
Rbp1	
Gm11992	Gm11992
Ccni	
Gm1113	Gm1113
Nlrp4c	
Serhl	Serhl
Lrrn1	Lrrn1
Ephx3	Ephx3
Fpr-rs3	
Tctex1d2	Tctex1d2
Ceacam16	Ceacam16
Scube1	
Pappa2	Pappa2
Pcmt1	Pcmt1
Sh3pxd2b	Sh3pxd2b
Gm20806	
Palb2	
Top1mt	Top1mt
Itpr2	
Gm973	Gm973
Zbtb17	Zbtb17
Msantd4	Msantd4
Tmem150a	Tmem150a
Gm10670	
Glt6d1	Glt6d1
Gm21812	
Atg16l2	Atg16l2
Fto	Fto
Gm20854	
Ypel5	Ypel5
Vmn1r104	
Oas2	Oas2
Pdgfrb	Pdgfrb
Ybx3	Ybx3
Gm21719	
Gm20747	
Mettl2	Mettl2
Gabrb1	Gabrb1
Coil	Coil
Nt5c3b	Nt5c3b
Prpf4	Prpf4
Parvg	Parvg
Terb2	Terb2
Traf3ip3	
Abhd13	Abhd13
Plod2	Plod2
Prss58	Prss58
Olfr790	Olfr790
Slc9b2	Slc9b2
Tgfbr1	Tgfbr1
Pcsk7	Pcsk7
Fam167b	Fam167b
Nt5m	Nt5m
Shc1	Shc1
Ubxn2a	Ubxn2a
Tyrobp	Tyrobp
Gm21310	
Pgf	Pgf
Lce3b	
Pfdn5	Pfdn5
Taf6	
Pax8	Pax8
Cenpx	Cenpx
Nadsyn1	Nadsyn1
Gstt2	Gstt2
Gpm6a	Gpm6a
Snord90	RF00579
Tnfrsf19	Tnfrsf19
Ldlrad4	Ldlrad4
Gm27611	RF01954
Ugt2b34	
Pabpc4l	Pabpc4l
Isca1	
Pcdh8	Pcdh8
Atp8b1	Atp8b1
Rnf144b	Rnf144b
Apol11b	
Raly	Raly
Olfr860	
Phb2	
Chmp3	Chmp3
Capza2	Capza2
Sobp	Sobp
Tmem231	Tmem231
Gpr180	Gpr180
Edn2	Edn2
Gabrb2	Gabrb2
Lgals8	Lgals8
Avl9	Avl9
Pip5k1a	Pip5k1a
Pabpc6	Pabpc6
Smim13	Smim13
Samd10	Samd10
Zdhhc4	Zdhhc4
Decr1	Decr1
Spg21	
Cmah	Cmah
Spcs2	
Runx3	Runx3
Gm22009	RF01295
Flrt3	Flrt3
Rcbtb2	Rcbtb2
Itm2b	Itm2b
Olfr786	
Krt80	Krt80
Arpp19	
Rnd2	Rnd2
Spout1	Spout1
Ighv6-4	
Bak1	Bak1
1700074P13Rik	1700074P13Rik
Basp1	Basp1
Wnt2	Wnt2
Clpx	Clpx
Hax1	
Tmem19	Tmem19
Scnn1g	Scnn1g
Plcb2	Plcb2
Mab21l1	Mab21l1
Sec62	Sec62
Stfa2l1	
Gm23212	RF00287
Rgp1	Rgp1
Vps36	
Tmem30a	Tmem30a
Zfp414	Zfp414
Hinfp	Hinfp
Gapt	Gapt
Pbxip1	Pbxip1
Mapk11	Mapk11
Snx7	Snx7
Stk25	Stk25
Larp4b	Larp4b
Car11	Car11
Scamp3	Scamp3
Ly6h	Ly6h
Ccdc70	Ccdc70
Rgs7bp	Rgs7bp
Ino80b	Ino80b
Olfr707	
Rbms2	Rbms2
Ttll9	Ttll9
Csf2rb2	
Tcaf2	Tcaf2
Disp2	Disp2
Mtss1l	Mtss1l
Itga3	Itga3
Klk6	Klk6
Ccdc127	Ccdc127
Ripply1	Ripply1
Dctn4	Dctn4
Raver2	Raver2
Znhit2	Znhit2
Slc24a5	Slc24a5
Irx4	Irx4
Atp5g2	
Bex4	
Pomp	
Serpinb11	Serpinb11
Prmt9	Prmt9
Olfr855	
Arfip2	Arfip2
Fam89b	Fam89b
Herc3	Herc3
Raver1	
Gemin2	Gemin2
Cd300e	Cd300e
Ica1l	Ica1l
Armc8	Armc8
Fbxo7	Fbxo7
Hist1h2bm	
Hist1h1e	Hist1h1e
Gm11554	
AW209491	
Esco1	Esco1
Ankrd40	Ankrd40
Pde12	Pde12
Os9	Os9
Mccc2	Mccc2
Sgms2	Sgms2
Mfap1b	
Snx32	Snx32
Col25a1	Col25a1
Grb7	Grb7
Aox4	Aox4
Irf1	
Chd1l	Chd1l
Kcna5	Kcna5
Gipc1	Gipc1
Lsm12	Lsm12
Gm24452	RF00086
Tdp2	Tdp2
Gsdma3	
Rell1	Rell1
Trim21	Trim21
Gpr25	Gpr25
Mpl	Mpl
Zfp663	Zfp663
Tex43	Tex43
Lrp10	Lrp10
Rnf103	Rnf103
Zfp454	Zfp454
Spock2	Spock2
Marveld2	Marveld2
Ppp1r8	Ppp1r8
Gpc5	Gpc5
Acaa2	Acaa2
Fahd2a	Fahd2a
Gsdma2	
Cdx4	Cdx4
Larp1	Larp1
Smad4	Smad4
Arhgef18	Arhgef18
Kank2	
Rnft1	Rnft1
2810004N23Rik	2810004N23Rik
4933403O08Rik	4933403O08Rik
Ganab	Ganab
Rdh14	Rdh14
Slc9a9	
Hey2	Hey2
Gm27271	RF02176
Eif3e	
Sphk2	Sphk2
Gimap9	
Kcmf1	
Atp6v1d	Atp6v1d
Ighv6-5	
Ppp1r3d	Ppp1r3d
Mctp2	Mctp2
Mxra7	Mxra7
Hk1	
Calm1	
Lrrc71	Lrrc71
Ctsq	
Golga7b	Golga7b
Ccr8	Ccr8
Olfr26	
Taar7d	
Lrrc42	
Cabyr	
Tacr3	Tacr3
Pdilt	Pdilt
Cebpzos	
Lrrc61	Lrrc61
Blm	Blm
Ankrd42	Ankrd42
Dchs1	Dchs1
Ccdc27	Ccdc27
Copg2	
Gjb2	Gjb2
Olfr933	
Lrriq1	Lrriq1
Tmem138	Tmem138
2610301B20Rik	2610301B20Rik
Mycbp	Mycbp
Cyb5a	Cyb5a
Slc5a5	Slc5a5
Fkbp8	Fkbp8
Yars	Yars
Nup62cl	Nup62cl
Mns1	Mns1
Cts7	
Agtr1b	
Rgs7	Rgs7
Pcyox1	Pcyox1
Ndufaf7	Ndufaf7
Zcchc7	Zcchc7
Rfx8	Rfx8
Psmd4	Psmd4
Apbb1	Apbb1
Stard7	
Capn13	Capn13
Spata45	Spata45
Ggt1	Ggt1
Gm29094	
Ndufs7	Ndufs7
Cts6	
Timp3	Timp3
Ndufv2	
Mrpl41	Mrpl41
Mthfsd	Mthfsd
Tnks1bp1	
Cnpy2	Cnpy2
Rlf	
Wdr49	
Prkar1b	Prkar1b
Gimap1	Gimap1
Mir448	Mir448
Il17rb	Il17rb
Bnipl	Bnipl
Rab3c	Rab3c
Defb19	Defb19
Stfa3	
Hs6st3	Hs6st3
Morn2	Morn2
Akap12	Akap12
Ect2	Ect2
Gm5483	
Evc	Evc
Larp4	
Gm10037	
Olfr857	
Ncoa6	
Rab11fip4	Rab11fip4
Marcks	
Gltpd2	Gltpd2
Ldoc1	Ldoc1
Dgkz	Dgkz
Crabp2	Crabp2
Fgf21	Fgf21
Nmbr	Nmbr
Olfr836	
Ly6g6e	Ly6g6e
Luzp2	Luzp2
Scaf11	Scaf11
BC030867	BC030867
Mta2	Mta2
Aasdhppt	Aasdhppt
Plcz1	Plcz1
Slc18b1	Slc18b1
Haus4	Haus4
Cacna1a	Cacna1a
Ighv7-4	
Gcm2	Gcm2
Polr3e	Polr3e
Gtf2e2	
Stard4	Stard4
Slc25a36	Slc25a36
Olfr1532-ps1	
Gh	Gh
Zfp287	Zfp287
Nars2	Nars2
Irf2bp2	Irf2bp2
Psme2b	
Nudcd1	Nudcd1
Tln2	Tln2
Taar7a	
Tomm22	Tomm22
Fastkd2	Fastkd2
Brd9	Brd9
Stag1	Stag1
Tfip11	Tfip11
Mroh9	
Xpnpep1	Xpnpep1
Olfr331	
Kif27	Kif27
Cep350	
Rnd1	Rnd1
Impdh2	Impdh2
Bscl2	Bscl2
1700029P11Rik	
