Gene name	Sheep gene name
Sntb1	ENSOARG00000017789
Ccnt2	CCNT2
Gm21936	
Gm2016	
Ifne	IFNE
Gm15446	
Agap1	ENSOARG00000019132
Fezf2	FEZF2
Map3k21	MAP3K21
Tm2d3	TM2D3
Gm4027	
Ap2s1	AP2S1
Amdhd2	ENSOARG00000018598
Fam129a	FAM129A
Gm16381	UBL5
Gm2022	
Zfp932	
Rad54l	RAD54L
Psma5	PSMA5
Hs3st3b1	ENSOARG00000016403
Hs3st3b1	ENSOARG00000016450
Pabpc5	PABPC5
Whamm	WHAMM
Syt2	ENSOARG00000018490
Kit	KIT
Ano1	ANO1
Trav14d-2	ENSOARG00000019558
Trav14d-2	ENSOARG00000002609
Trav14d-2	ENSOARG00000019562
Pnmt	PNMT
Stom	STOM
Mtfr1	MTFR1
Fam186a	FAM186A
Slc24a3	SLC24A3
K230010J24Rik	
Pnpla2	ENSOARG00000005483
Rbpj	RBPJ
Nme7	NME7
Ppp1r12b	ENSOARG00000001715
Cacna2d4	CACNA2D4
Snrpd3	SNRPD3
Ldhc	LDHC
Slco1a6	SLCO1A2
Ntmt1	NTMT1
Rwdd3	RWDD3
Cd55	CD55
Pcnx	PCNX1
Gin1	GIN1
Pde4a	PDE4A
Has2	ENSOARG00000020777
Nup210l	NUP210L
Rspo3	RSPO3
Cpeb4	CPEB4
Gm5592	C2orf78
Lrrc41	ENSOARG00000002284
Lrrc41	ENSOARG00000002308
Sbf2	SBF2
Gm17655	
Rarb	RARB
Gm35315	
Agtr1a	AGTR1
Tmem14a	TMEM14A
Atp1b1	ATP1B1
Epb41	EPB41
Kctd11	KCTD11
Dock11	DOCK11
1110032F04Rik	C3orf80
Olfr1264	
Hcn2	HCN2
Cox10	COX10
Serpina6	SERPINA6
Cnnm3	
Hmga2	ENSOARG00000002929
Olfr837	
Gpatch3	GPATCH3
Fuom	FUOM
Hist1h2ao	ENSOARG00000005229
Pipox	PIPOX
Ovol3	OVOL3
AI854703	
Ppm1a	PPM1A
Cpped1	ENSOARG00000007215
Cpped1	ENSOARG00000007253
Ecsit	ECSIT
Spib	ENSOARG00000013693
Ptges2	ENSOARG00000010878
Ptges2	ENSOARG00000001286
Slc7a11	SLC7A11
Grk1	ENSOARG00000008450
Grk1	ENSOARG00000002290
Sycp1	SYCP1
E330009J07Rik	KIAA1147
Top2b	TOP2B
Sap18	SAP18
Wdr86	ENSOARG00000004212
Cactin	CACTIN
Havcr2	
Trim12c	ENSOARG00000000896
Trim12c	ENSOARG00000018991
Trim12c	ENSOARG00000019033
Tsr1	TSR1
Dgat2	DGAT2
Gm21974	ENSOARG00000008543
Pomk	POMK
Prss53	PRSS53
Actrt3	ACTRT3
Olfr839-ps1	
Wdr62	WDR62
Utp18	UTP18
Ska3	SKA3
Uqcc1	UQCC1
Lpar1	LPAR1
Hist1h4n	
Ap3b1	AP3B1
AC163623.2	
Zfp653	ZNF653
Lrrc23	LRRC23
Prr22	ENSOARG00000007123
Mreg	MREG
Tnfrsf11a	TNFRSF11A
Vkorc1	ENSOARG00000008543
Gimap8	ENSOARG00000001131
Lrtm2	LRTM2
Csnk1e	ENSOARG00000015331
Acsbg2	ACSBG2
Sh3rf1	
Zfp646	ZNF646
Lmcd1	LMCD1
Spp1	SPP1
Ints7	INTS7
Olfr843	
Zfp668	ZNF668
Cops5	COPS5
Prap1	
Cdc123	CDC123
Ldb2	LDB2
Hist1h2ap	ENSOARG00000005229
Ssbp4	SSBP4
1600002H07Rik	C16orf59
Nostrin	NOSTRIN
Kcnk13	
Smg6	SMG6
Fnta	FNTA
Elavl3	ELAVL3
Ccdc150	CCDC150
Clec4d	CLEC4D
Nup214	NUP214
Ktn1	KTN1
Anxa1	ANXA1
Gm10272	ENSOARG00000015757
Naa11	NAA11
Tspear	TSPEAR
Abcc8	ABCC8
Gk2	GK2
Topors	TOPORS
Usp1	USP1
Plcxd1	ENSOARG00000000972
Plcxd1	ENSOARG00000002749
Zscan10	ZSCAN10
Kcnk1	ENSOARG00000003401
Ager	AGER
Scrib	SCRIB
Asph	ASPH
Atp6v0c	ENSOARG00000010581
Pias1	PIAS1
Ndufb6	NDUFB6
Slmap	SLMAP
Tbxa2r	TBXA2R
Cer1	CER1
Ighv8-8	
Fcgrt	FCGRT
Gm3238	ENSOARG00000012190
Pate3	PATE3
Tas2r140	
Olfr845	
Gm3285	ENSOARG00000012190
Gm3250	ENSOARG00000012190
Pate4	
Sohlh2	ENSOARG00000010479
Toporsos	
AC158603.4	ENSOARG00000012190
Sec61a2	
Coro1c	CORO1C
Gm10100	ENSOARG00000015757
AC153874.1	ENSOARG00000012190
Fsip1	FSIP1
Gm2696	ENSOARG00000012190
Kbtbd3	KBTBD3
Tbx20	TBX20
Pate1	
Eif4enif1	EIF4ENIF1
Rtcb	
AC153864.3	ENSOARG00000012190
Gm10142	ENSOARG00000015757
Gtpbp6	GTPBP6
Spsb2	ENSOARG00000017609
Gm3233	ENSOARG00000012190
Tada3	TADA3
Pus3	PUS3
Cspp1	CSPP1
Tbc1d24	ENSOARG00000018511
Gm10024	ENSOARG00000015757
Mymk	MYMK
Gm9507	ENSOARG00000012190
Krtap12-1	ENSOARG00000015757
Nup35	NUP35
Igkv14-111	ENSOARG00000020792
Shisa9	ENSOARG00000007260
Tpi1	TPI1
Rcn3	ENSOARG00000002041
Rcn3	ENSOARG00000013207
Gm7137	ENSOARG00000012190
Pate2	PATE2
Msantd4	MSANTD4
Olfr1265	
Gpr176	GPR176
Cbr1	ENSOARG00000013777
Cbr1	ENSOARG00000013744
Cbr1	ENSOARG00000013700
Gm19402	ENSOARG00000012190
Ascl4	
Srr	SRR
Rsbn1	RSBN1
Antxr2	ANTXR2
Krtap10-4	ENSOARG00000012190
Klrc3	ENSOARG00000020990
Klrc3	ENSOARG00000020964
Klrc3	ENSOARG00000020995
Klrc3	ENSOARG00000000861
Gm7138	ENSOARG00000012190
Drc7	DRC7
Dip2b	DIP2B
Ighv1-58	
Olfr1008	
Gm10318	ENSOARG00000012190
Ipo13	IPO13
Gm19668	ENSOARG00000012190
Rhod	RHOD
Krtap10-10	ENSOARG00000012190
Ankrd35	ANKRD35
Zfp37	ZFP37
AC158603.3	ENSOARG00000012190
Hyls1	HYLS1
Ighv1-59	
Nrcam	NRCAM
Cc2d1a	CC2D1A
Nudt5	NUDT5
Itgb5	ITGB5
2810474O19Rik	KIAA1551
Ift80	IFT80
Klhl32	KLHL32
Syt12	SYT12
Fzd4	FZD4
Mtap	ENSOARG00000014411
Dusp19	DUSP19
Tnip2	ENSOARG00000015067
Gas6	GAS6
Lad1	ENSOARG00000002976
Lad1	ENSOARG00000018789
Lad1	ENSOARG00000012650
Birc5	BIRC5
Cetn2	CETN2
Heph	HEPH
Tmem70	TMEM70
Sort1	SORT1
Ddost	DDOST
Rnf180	RNF180
Ssu2	SSUH2
Serpina7	SERPINA7
Pold1	POLD1
Tmem255b	TMEM255B
Ppp1r9b	PPP1R9B
Nexn	NEXN
Gpn2	GPN2
Olfr846	
Tmem235	TMEM235
Isca1	ENSOARG00000008757
Isca1	ENSOARG00000015896
Crygn	CRYGN
Dnajc27	DNAJC27
Olfr482	OR5P2
Ect2l	ECT2L
Slc35f3	SLC35F3
Sez6	SEZ6
Tmem98	TMEM98
Plk1	PLK1
Utp20	UTP20
Olfr483	OR5P2
Fam78a	FAM78A
Olfr484	OR5P2
Clec4e	CLEC4E
Nap1l2	ENSOARG00000000843
Dvl2	DVL2
Zcchc6	ZCCHC6
Rfwd2	RFWD2
Gpc5	GPC5
Nip7	ENSOARG00000003558
Nip7	ENSOARG00000021146
Trav3d-3	TRAV5
Lrp11	ENSOARG00000002898
Nr1i2	NR1I2
Tph2	TPH2
Suds3	SUDS3
Dusp11	DUSP11
Vim	VIM
Tarbp1	TARBP1
Hnrnpf	HNRNPF
Mbtd1	MBTD1
Olfr1269	
Gcnt2	GCNT2
Uhmk1	UHMK1
Prkx	PRKX
Klrc2	ENSOARG00000020990
Klrc2	ENSOARG00000020964
Klrc2	ENSOARG00000020995
Klrc2	ENSOARG00000000861
Vmn1r75	ENSOARG00000011410
Vmn1r75	VN1R1
Crem	CREM
Pgap3	PGAP3
Hspa5	HSPA5
Coa6	ENSOARG00000003420
Nol10	NOL10
Vezt	VEZT
Rin2	RIN2
Gm12169	ENSOARG00000010828
Gm12169	ENSOARG00000010727
Gm12169	ENSOARG00000010604
Gm12169	ENSOARG00000002992
Gm12169	ENSOARG00000001686
Ermp1	ERMP1
H2afb3	
2210408I21Rik	ENSOARG00000016729
Ncaph2	ENSOARG00000019889
Ncaph2	ENSOARG00000007117
Dlx6	DLX6
Pcdh11x	ENSOARG00000002599
Pak1ip1	PAK1IP1
Srm	SRM
Aurkb	AURKB
Pkib	ENSOARG00000008189
Slc6a2	SLC6A2
Lilra5	
2700081O15Rik	ENSOARG00000003309
Sfn	SFN
Vmn1r76	ENSOARG00000011410
Vmn1r76	VN1R1
Olfr1268-ps1	
Gstm5	GSTM3
Olfr1267-ps1	
Ighv1-61	
T	T
Frem1	FREM1
Skor1	SKOR1
Mogat2	ENSOARG00000011929
Mogat2	ENSOARG00000001623
Mogat2	ENSOARG00000012030
Mogat2	ENSOARG00000001788
Mogat2	ENSOARG00000012124
Mogat2	ENSOARG00000012116
Myb	MYB
Slc6a6	SLC6A6
Gipc3	GIPC3
Prss23	PRSS23
Mum1l1	MUM1L1
Pan2	PAN2
H3f3b	H3F3B
Olfr398	
Acadvl	ACADVL
Socs3	SOCS3
Cbr4	CBR4
Gria4	GRIA4
Pecr	PECR
Ppp4c	PPP4C
Zcchc2	ENSOARG00000006125
Zcchc2	ENSOARG00000006130
Mycn	
Spock1	SPOCK1
Igf1	IGF1
Hs3st3a1	ENSOARG00000016403
Hs3st3a1	ENSOARG00000016450
Sema3a	SEMA3A
Kif5b	KIF5B
Htr1a	HTR1A
AI987944	
Gzmb	
Iapp	IAPP
Ly96	LY96
Crygf	
Olfr32	
Acox2	ACOX2
Olfr788	OR6C3
Slco1a5	SLCO1A2
Dpysl5	DPYSL5
Mdfi	MDFI
Gm43796	TBC1D24
Pink1	PINK1
Abce1	ABCE1
Alkbh7	ALKBH7
Diras2	DIRAS2
Rbbp4	RBBP4
H2-T3	ENSOARG00000001701
H2-T3	ENSOARG00000010572
H2-T3	ENSOARG00000009552
H2-T3	ENSOARG00000014493
H2-T3	ENSOARG00000015002
H2-T3	ENSOARG00000000482
H2-T3	ENSOARG00000014069
H2-T3	ENSOARG00000018075
H2-T3	ENSOARG00000002218
H2-T3	ENSOARG00000009042
H2-T3	ENSOARG00000001165
H2-T3	ENSOARG00000009395
H2-T3	ENSOARG00000002875
Dnah17	
Pnp	ENSOARG00000000835
Tbc1d15	TBC1D15
Atp12a	ATP12A
Eps8l3	EPS8L3
Acap1	ACAP1
Rpn1	ENSOARG00000004090
Rpn1	ENSOARG00000008196
Ccdc28a	CCDC28A
Alcam	ALCAM
Sf3a1	SF3A1
Pnp2	ENSOARG00000000835
Aftph	AFTPH
Sync	SYNC
Echs1	ECHS1
Slamf6	SLAMF6
Drg1	DRG1
Kcnmb2	ENSOARG00000020716
Npl	ENSOARG00000019055
Npl	ENSOARG00000008272
Aspscr1	ASPSCR1
Aff3	ENSOARG00000013344
Aff3	ENSOARG00000013353
Dpy19l3	DPY19L3
2700060E02Rik	C14orf166
Cdhr2	CDHR2
Spink14	ENSOARG00000014332
Map6	MAP6
B3gnt7	B3GNT7
Fam149a	FAM149A
Gm6657	CCDC196
Zbtb7a	ZBTB7A
Paox	PAOX
Nsdhl	NSDHL
Ercc4	ERCC4
Hcfc1r1	HCFC1R1
Psmc1	PSMC1
Nid2	NID2
Tmtc2	TMTC2
Asb6	ASB6
Ermap	ERMAP
Vps25	
Thoc6	THOC6
Col9a1	COL9A1
Snx25	SNX25
Ighv1-62-1	
Ddx5	DDX5
1600002K03Rik	ENSOARG00000011420
Ncr1	NCR1
Ncmap	NCMAP
Ptcd3	PTCD3
Map3k19	MAP3K19
Maats1	MAATS1
Rheb	RHEB
Serpina1f	
Chrm5	CHRM5
Cgnl1	CGNL1
Prkcg	PRKCG
Olfr790	OR6C75
Tsg101	TSG101
Vash1	VASH1
Csrnp3	CSRNP3
Pgs1	PGS1
Olfr267	OR2K2
Olfr693	ENSOARG00000017331
Olfr693	ENSOARG00000017341
Vps72	VPS72
Olfr1013	
Tcp11	TCP11
Brsk1	BRSK1
Dlx5	DLX5
Lrrc46	LRRC46
Prpf8	PRPF8
Cc2d2b	ENSOARG00000006841
Olfr1014	
Arhgef38	ARHGEF38
Syk	SYK
Anxa6	ANXA6
Smn1	ENSOARG00000005425
Palld	PALLD
Numa1	NUMA1
Lrp1b	LRP1B
Alb	ALB
Pcsk1	PCSK1
Ern2	ERN2
Olfr694	ENSOARG00000017331
Olfr694	ENSOARG00000017341
Stoml2	STOML2
AW146154	
Klrc1	ENSOARG00000020990
Klrc1	ENSOARG00000020964
Klrc1	ENSOARG00000020995
Klrc1	ENSOARG00000000861
Gp6	ENSOARG00000002001
Myadm	ENSOARG00000017346
Myadm	ENSOARG00000017324
Myadm	ENSOARG00000000862
Myadm	ENSOARG00000011064
Myadm	ENSOARG00000011091
Myadm	ENSOARG00000011124
Myadm	ENSOARG00000017651
Myadm	ENSOARG00000011119
Myadm	ENSOARG00000011097
Myadm	ENSOARG00000011044
Myadm	ENSOARG00000010562
Myadm	ENSOARG00000017376
Myadm	ENSOARG00000017413
Myadm	ENSOARG00000011050
Myadm	ENSOARG00000017401
Myadm	ENSOARG00000011015
Myadm	ENSOARG00000017338
Myadm	ENSOARG00000017388
Myadm	ENSOARG00000017315
Myadm	ENSOARG00000017364
Myadm	ENSOARG00000017428
Ncam2	NCAM2
Cpsf4l	
Serpine2	SERPINE2
Slc1a5	SLC1A5
Zfp184	
Ces2h	CES2
Id1	ID1
Rhcg	RHCG
Nox3	NOX3
Spaca9	SPACA9
Cfap97	CFAP97
Irf2bp2	ENSOARG00000017793
Cdx4	CDX4
Homer2	HOMER2
Cox4i2	COX4I2
Bpifc	BPIFC
Trav5d-4	ENSOARG00000019580
Trav5d-4	ENSOARG00000019589
Lama4	LAMA4
Ttll3	ENSOARG00000005999
Ramp2	RAMP2
Cav3	CAV3
Mecp2	MECP2
Gimap9	ENSOARG00000000070
Gimap9	ENSOARG00000001140
Gimap9	ENSOARG00000001465
Gimap9	ENSOARG00000000816
Pla2g16	ENSOARG00000002733
Pla2g16	ENSOARG00000002725
Unk	UNK
Fam96a	ENSOARG00000004547
Fam96a	ENSOARG00000020759
Tarbp2	TARBP2
Cenpo	ENSOARG00000009940
Cenpo	ENSOARG00000018065
Tmem150b	TMEM150B
Adamtsl2	ADAMTSL2
Pet100	PET100
Skap2	SKAP2
Gm5678	ENSOARG00000013777
