Gene name	Chicken gene name
Adprhl1	ADPRHL1
Adprhl2	ADPRHL2
Adprm	ADPRM
Adra1a	ADRA1A
Adra1b	ADRA1B
Adra2a	ADRA2A
Adra2c	ADRA2C
Adrb1	ADRB1
Adrb2	ADRB2
Adrb3	ADRB3
Grk2	ADRBK1
Gm9774	ADRM1
Adrm1	ADRM1
Adsl	ADSL
Adss	ADSS
Adssl1	ADSSL1
Adtrp	ADTRP
Aebp1	AEBP1
Aen	AEN
Afap1	AFAP1
Afap1l1	AFAP1L1
Afap1l2	AFAP1L2
Afdn	AFDN
Aff1	AFF1
Aff2	AFF2
Aff4	AFF4
Afg1l	AFG1L
Afg3l2	AFG3L2
Afmid	AFMID
Aftph	AFTPH
Aga	AGA
Agbl1	AGBL1
Agbl2	AGBL2
Agbl4	AGBL4
Agfg1	AGFG1
Aggf1	AGGF1
Agk	AGK
Agl	AGL
Agmat	AGMAT
Agmo	AGMO
Ago1	AGO1
Ago2	AGO2
Ago3	AGO3
Ago4	AGO4
Agpat2	AGPAT2
Agpat3	AGPAT3
Agpat4	AGPAT4
Agpat5	AGPAT5
Agps	AGPS
Agr2	AGR2
Agr3	AGR3
Agrn	AGRN
Agrp	Agrp
Agt	AGT
Agtpbp1	AGTPBP1
Agtr1b	AGTR1
Agtr1a	AGTR1
Agtr2	AGTR2
Agtrap	AGTRAP
Agxt	AGXT
Agxt2	AGXT2
Ahctf1	AHCTF1
Gm4737	AHCY
Ahcy	AHCY
Ahcyl1	AHCYL1
Ahcyl2	AHCYL2
Ahdc1	AHDC1
Ahi1	AHI1
Ahrr	AHRR
Ahsa1	AHSA1
Ahsg	AHSG
Aicda	AICDA
Aifm1	AIFM1
Aifm2	AIFM2
Aifm3	AIFM3
Aig1	AIG1
Aimp1	AIMP1
Aimp2	AIMP2
Aip	AIP
Aipl1	AIPL1
Paics	AIRC
Ak1	AK1
Ak2	AK2
Ak3	AK3
Ak4	AK4
Ak7	AK7
Ak9	AK9
Akain1	AKAIN1
Akap1	AKAP1
Akap10	AKAP10
Akap11	AKAP11
Akap12	AKAP12
Akap6	AKAP6
Akap7	AKAP7
Akap8l	AKAP8L
Akap9	AKAP9
Akirin2	AKIRIN2
Akr1a1	AKR1A1
Akr1b3	AKR1B1
Akr1b8	AKR1B1
Akr1b10	AKR1B1
Akr1b7	AKR1B1
Akr1b3	AKR1B1L
Akr1b8	AKR1B1L
Akr1b10	AKR1B1L
Akr1b7	AKR1B1L
Akr1d1	AKR1D1
Akt1	AKT1
Akt3	AKT3
Aktip	AKTIP
Alad	ALAD
Alas1	ALAS1
Alb	ALB
Alcam	ALCAM
Aldh1a1	ALDH1A1
Aldh1a7	ALDH1A1
Aldh1a2	ALDH1A2
Aldh1l2	ALDH1L2
Aldh4a1	ALDH4A1
Aldh5a1	ALDH5A1
Aldh1a3	ALDH6
Aldh6a1	ALDH6A1
Aldh7a1	ALDH7A1
Aldh8a1	ALDH8A1
Aldob	ALDOB
Aldoc	ALDOC
Alg12	ALG12
Alg14	ALG14
Alg2	ALG2
Alg5	ALG5
Alg6	ALG6
Alg8	ALG8
Fam150b	ALKAL2
Alkbh1	ALKBH1
Alkbh2	ALKBH2
Alkbh3	ALKBH3
Gm27027	ALKBH3
Alkbh4	ALKBH4
Alkbh5	ALKBH5
Alkbh8	ALKBH8
Alox5	ALOX5
Alox5ap	ALOX5AP
Alpk1	ALPK1
Alpk3	ALPK3
Als2	ALS2
Als2cl	ALS2CL
Alx1	ALX1
Gm4302	ALYREF
Gm4307	ALYREF
Gm4303	ALYREF
Gm4312	ALYREF
Gm4305	ALYREF
Gm4301	ALYREF
Gm6763	ALYREF
Gm21293	ALYREF
Gm8764	ALYREF
Gm21304	ALYREF
Gm21312	ALYREF
Gm20765	ALYREF
Gm4340	ALYREF
Alyref2	ALYREF
Alyref	ALYREF
Amacr	AMACR
Ambp	AMBP
Amd1	AMD1
Amd2	AMD1
Amdhd1	AMDHD1
Amer1	AMER1
Amer2	AMER2
Amfr	AMFR
Amh	AMH
Amigo2	AMIGO2
Ammecr1	AMMECR1
Ammecr1l	AMMECR1L
Amn	AMN
Amn1	AMN1
Amot	AMOT
Amotl1	AMOTL1
Ampd1	AMPD1
Ampd2	AMPD2
Ampd3	AMPD3
Amph	AMPH
Amt	AMT
Anapc10	ANAPC10
Anapc13	ANAPC13
Anapc16	ANAPC16
Anapc2	ANAPC2
Anapc5	ANAPC5
Anapc7	ANAPC7
Angel1	ANGEL1
Angel2	ANGEL2
Angpt2	angiopoietin-2B
Angpt1	ANGPT1
Angpt4	ANGPT4
Angptl1	ANGPTL1
Angptl2	ANGPTL2
Angptl3	ANGPTL3
Angptl4	ANGPTL4
Angptl7	ANGPTL7
Ank1	ANK1
Ank3	ANK3
Ankdd1a	ANKDD1A
Ankdd1b	ANKDD1B
Ankef1	ANKEF1
Ankfy1	ANKFY1
Ank	ANKH
Ankib1	ANKIB1
Ankk1	ANKK1
Ankle2	ANKLE2
Ankmy1	ANKMY1
Ankmy2	ANKMY2
Ankra2	ANKRA2
Ankrd1	ANKRD1
Ankrd10	ANKRD10
Ankrd12	ANKRD12
Ankrd13a	ANKRD13A
Ankrd13b	ANKRD13B
Ankrd13c	ANKRD13C
Ankrd13d	ANKRD13D
Ankrd16	ANKRD16
Ankrd17	ANKRD17
Ankrd2	ANKRD2
Ankrd22	ANKRD22
Ankrd24	ANKRD24
Ankrd27	ANKRD27
Ankrd28	ANKRD28
Ankrd29	ANKRD29
Ankrd33b	ANKRD33B
Ankrd34b	ANKRD34B
Ankrd34c	ANKRD34C
Ankrd40	ANKRD40
Ankrd44	ANKRD44
Ankrd49	ANKRD49
Ankrd52	ANKRD52
Ankrd55	ANKRD55
Ankrd60	ANKRD60
Ankrd9	ANKRD9
Anks1	ANKS1A
Anks1b	ANKS1B
Anks3	ANKS3
Anks4b	ANKS4B
Anks6	ANKS6
Ankzf1	ANKZF1
Ano1	ANO1
Ano10	ANO10
Ano2	ANO2
Ano3	ANO3
Ano4	ANO4
Ano5	ANO5
Ano6	ANO6
Ano9	ANO9
Anp32e	ANP32E
Anpep	ANPEP
Antxr1	ANTXR1
Antxr2	ANTXR2
Anxa1	ANXA1
Anxa10	ANXA10
Anxa11	ANXA11
Anxa13	ANXA13
Anxa2	ANXA2
Anxa4	ANXA4
Anxa5	ANXA5
Anxa6	ANXA6
Anxa7	ANXA7
Aoah	AOAH
Aox1	AOX1
Ap1ar	AP1AR
Ap1b1	AP1B1
Ap1g1	AP1G1
Ap1m1	AP1M1
Ap1s2	AP1S2
Ap1s3	AP1S3
Ap2a2	AP2A2
Ap2b1	AP2B1
Ap2m1	AP2M1
Ap2s1	AP2S1
Ap3b1	AP3B1
Ap3d1	AP3D1
Ap3m1	AP3M1
Ap3m2	AP3M2
Ap3s1	AP3S1
Ap3s2	AP3S2
Ap4b1	AP4B1
Gm43064	AP4B1
Ap4s1	AP4S1
Ap5m1	AP5M1
Ap5s1	AP5S1
Ap5z1	AP5Z1
Apaf1	APAF1
Apba2	APBA2
Apba3	APBA3
Apbb1	APBB1
Apbb1ip	APBB1IP
Apbb2	APBB2
Apc	APC
Apc2	APC2
Apcdd1	APCDD1
Apela	APELA
Aph1a	APH1A
Api5	API5
Apip	APIP
Aplf	APLF
Aplnr	APLNR
Aplp2	APLP2
Apmap	APMAP
Apoa1	APOA1
Apoa4	APOA4
Apoa5	APOA5
Apob	APOB
Apobec2	APOBEC2
Apod	APOD
Apoh	APOH
Apold1	APOLD1
Apool	APOOL
Apopt1	APOPT1
App	APP
Appbp2	APPBP2
Appl1	APPL1
Appl2	APPL2
Aprt	APRT
Aptx	APTX
Aqp11	AQP11
Aqp2	AQP2
Aqp3	AQP3
Aqp4	AQP4
Aqp5	AQP5
Aqp9	AQP9
Aqr	AQR
Ar	AR
Arap2	ARAP2
Arap3	ARAP3
Arc	ARC
Arcn1	ARCN1
Areg	AREG
Arel1	AREL1
Arf1	ARF1
Arf4	ARF5
Arf5	ARF5
Arf6	ARF6
Arfgap1	ARFGAP1
Arfgap2	ARFGAP2
Arfgap3	ARFGAP3
Arfgef1	ARFGEF1
Arfgef2	ARFGEF2
Arfgef3	ARFGEF3
Arfip1	ARFIP1
Gm37240	ARFIP1
Arfip2	ARFIP2
Arfrp1	ARFRP1
Arg2	ARG2
Arglu1	ARGLU1
Arhgap1	ARHGAP1
Arhgap10	ARHGAP10
Arhgap12	ARHGAP12
Arhgap15	ARHGAP15
Arhgap17	ARHGAP17
Arhgap18	ARHGAP18
Arhgap20	ARHGAP20
1700006A11Rik	ARHGAP20
Gm1527	ARHGAP20
Arhgap21	ARHGAP21
Arhgap24	ARHGAP24
Arhgap25	ARHGAP25
Arhgap26	ARHGAP26
Arhgap29	ARHGAP29
Arhgap31	ARHGAP31
Arhgap35	ARHGAP35
Arhgap40	ARHGAP40
Arhgap42	ARHGAP42
Arhgap5	ARHGAP5
Arhgdia	ARHGDIA
Arhgdib	ARHGDIB
Arhgdig	ARHGDIG
Arhgef10	ARHGEF10
Arhgef10l	ARHGEF10L
Arhgef11	ARHGEF11
Arhgef12	ARHGEF12
Arhgef16	ARHGEF16
Arhgef26	ARHGEF26
Arhgef28	ARHGEF28
Arhgef3	ARHGEF3
Arhgef33	ARHGEF33
Arhgef37	ARHGEF37
Arhgef39	ARHGEF39
Arhgef4	ARHGEF4
Arhgef6	ARHGEF6
Arhgef7	ARHGEF7
Arhgef9	ARHGEF9
Arid1a	ARID1A
Arid1b	ARID1B
Arid2	ARID2
Arid3a	ARID3A
Arid3b	ARID3B
Arid4a	ARID4A
Arid4b	ARID4B
Arid5a	ARID5A
Arid5b	ARID5B
Arih1	ARIH1
Arih2	ARIH2
Arl1	ARL1
Arl11	ARL11
Arl13a	ARL13A
Arl13b	ARL13B
Arl14	ARL14
Arl14ep	ARL14EP
Arl15	ARL15
Arl2bp	ARL2BP
Arl4a	ARL4A
Arl4c	ARL4C
Arl5a	ARL5A
Arl5b	ARL5B
Arl6	ARL6
Arl6ip5	ARL6IP5
Arl8a	ARL8A
Arl8b	ARL8B
Arl9	ARL9
Armc1	ARMC1
Armc2	ARMC2
Armc3	ARMC3
Armc4	ARMC4
Armc6	ARMC6
Armc7	ARMC7
Armc8	ARMC8
Armc9	ARMC9
Arnt	ARNT
Arnt2	ARNT2
Arntl	ARNTL
Arntl2	ARNTL2
Arpc1b	ARPC1B
Arpc2	ARPC2
Arpc3	ARPC3
Arpc4	ARPC4
Arpc5	ARPC5
Arpc5l	ARPC5L
Arpp19	ARPP19
Arpp21	ARPP21
Arr3	ARR3
Arrdc1	ARRDC1
Arrdc2	ARRDC2
Arrdc3	ARRDC3
Arrdc4	ARRDC4
Arsa	ARSA
Arsb	ARSB
Arsg	ARSG
Arsi	ARSI
Arsj	ARSJ
Arsk	ARSK
Art4	ART4
Artn	ARTN
Arv1	ARV1
Arvcf	ARVCF
As3mt	AS3MT
Asah1	ASAH1
Asap1	ASAP1
Asap2	ASAP2
Asap3	ASAP3
Asb1	ASB1
Asb11	ASB11
Asb12	ASB12
Asb13	ASB13
Asb15	ASB15
Asb16	ASB16
Asb18	ASB18
Asb2	ASB2
Asb5	ASB5
Asb6	ASB6
Asb7	ASB7
Asb8	ASB8
Asb9	ASB9
Slc10a2	ASBT
Ascc1	ASCC1
Ascc2	ASCC2
Ascc3	ASCC3
Ascl1	ASCL1
Ascl3	ASCL3
Asf1a	ASF1
Ash1l	ASH1L
Ash2l	ASH2L
Asic1	ASIC1
Asic2	ASIC2
Asic4	ASIC4
a	Asip
Asl	ASL2
Asmt	ASMT
Asns	ASNS
Gm28551	ASNSD1
Asnsd1	ASNSD1
Aspa	ASPA
Aspg	ASPG
Asph	ASPH
Asphd2	ASPHD2
Aspm	ASPM
Aspn	ASPN
Tacr1	ASPR
Aspscr1	ASPSCR1
Asrgl1	ASRGL1
Ass1	ASS1
Astl	ASTL
Astn1	ASTN1
Astn2	ASTN2
Asxl1	ASXL1
Asxl2	ASXL2
Asxl3	ASXL3
Atad1	ATAD1
Atad2	ATAD2
Atad2b	ATAD2B
Atad5	ATAD5
Atcay	ATCAY
Ate1	ATE1
Atf2	ATF2
Atf3	ATF3
Atf4	ATF4
Atf6	ATF6
Atf7ip	ATF7IP
Atg10	ATG10
Atg101	ATG101
Atg12	ATG12
Atg13	ATG13
Atg14	ATG14
Atg16l1	ATG16L1
Atg2b	ATG2B
Atg3	ATG3
Atg4a	ATG4A
Atg4a-ps	ATG4A
Atg4b	ATG4B
Atg4c	ATG4C
Atg5	ATG5
Atg7	ATG7
Atg9a	ATG9A
Atic	ATIC
Atl1	ATL1
Atl2	ATL2
Atm	ATM
Atmin	ATMIN
Atn1	ATN1
Gm45234	ATN1
Atoh7	ATOH7
Atoh8	ATOH8
Atox1	ATOX1
Atp10a	ATP10A
Atp10b	ATP10B
Atp10d	ATP10D
Atp11a	ATP11A
Atp11c	ATP11C
Atp13a1	ATP13A1
Atp13a2	ATP13A2
Atp13a3	ATP13A3
Atp13a4	ATP13A4
Atp13a5	ATP13A5
Atp1a1	ATP1A1
Atp1b1	ATP1B1
Atp1b3	ATP1B3
Atp1b4	ATP1B4
Atp23	ATP23
Atp2a2	ATP2A2
Atp2a3	ATP2A3
Atp2b1	ATP2B1
Atp2b2	ATP2B2
Atp2b4	ATP2B4
Atp2c1	ATP2C1
Atp2c2	ATP2C2
Atp4b	ATP4B
Atp5b	ATP5B
Atp5c1	ATP5C1
Atp5d	ATP5D
Atp5f1	ATP5F1
Atp5g1	ATP5G1
Atp5g3	ATP5G3
Atp5h	ATP5H
Gm10250	ATP5H
Atp5k	ATP5I
Atp5j	ATP5J
Atp5j2	ATP5J2
Atp5s	ATP5S
mt-Atp6	ATP6
Atp6ap1	ATP6AP1
Atp6ap1l	ATP6AP1L
Atp6ap2	ATP6AP2
Atp6v0a1	ATP6V0A1
Atp6v0a2	ATP6V0A2
Atp6v0a4	ATP6V0A4
Atp6v0b	ATP6V0B
Atp6v0c	ATP6V0C
Atp6v0d1	ATP6V0D1
Atp6v0d2	ATP6V0D2
Atp6v1a	ATP6V1A
Atp6v1b2	ATP6V1B2
Atp6v1c1	ATP6V1C1
Atp6v1c2	ATP6V1C2
Atp6v1d	ATP6V1D
Atp6v1g1	ATP6V1G1
Atp6v1g3	ATP6V1G3
Atp6v1h	ATP6V1H
Atp7a	ATP7A
Atp7b	ATP7B
Atp8a1	ATP8A1
Atp8a2	ATP8A2
Atp8b1	ATP8B1
Atp8b2	ATP8B2
Atp8b3	ATP8B3
Atp9a	ATP9A
Atpaf2	ATPAF2
Atpif1	ATPIF1
Atr	ATR
Atrn	ATRN
Atrnl1	ATRNL1
Atrx	ATRX
Atxn1	ATXN1
Atxn10	ATXN10
Atxn1l	ATXN1L
Atxn2	ATXN2
Atxn7	ATXN7
Atxn7l1	ATXN7L1
Auh	AUH
Aup1	AUP1
Aurka	AURKA
Aurkaip1	AURKAIP1
Auts2	AUTS2
Aven	AVEN
Enah	avenaII
Avl9	AVL9
Avpr1a	AVPR1A
Avpr1b	AVPR1B
Avpr2	AVPR2
Axdnd1	AXDND1
Axin1	AXIN1
Axin2	AXIN2
Azi2	AZI2
Azin1	AZIN1
Azin2	AZIN2
B2m	B2M
B3galnt2	B3GALNT2
B3galt1	B3GALT1
B3galt5	B3GALT5
B3gat1	B3GAT1
B3gat2	B3GAT2
B3glct	B3GLCT
B3gnt2	B3GNT2
B3gnt4	B3GNT4
B3gnt5	B3GNT5
B3gnt7	B3GNT7
B3gnt9	B3GNT9
B3gntl1	B3GNTL1
B4galnt3	B4GALNT3
B4galnt4	B4GALNT4
B4galt1	B4GALT1
B4galt2	B4GALT2
B4galt4	B4GALT4
B4galt6	B4GALT6
B4galt7	B4GAL-T7
B9d1	B9D1
Baalc	BAALC
Acnat2	BAAT
Acnat1	BAAT
Baat	BAAT
Bre	BABAM2
Bace1	BACE1
Bace2	BACE2
Bach1	BACH1
Bach2	BACH2
Bag3	BAG3
Bag4	BAG4
Bag5	BAG5
Bahd1	BAHD1
Baiap2	BAIAP2
Baiap2l1	BAIAP2L1
Baiap2l2	BAIAP2L2
Bak1	BAK1
Bambi	BAMBI
Banf1	BANF1
Bank1	BANK1
Banp	BANP
Bap1	BAP1
Bard1	BARD1
Barhl1	BARHL1
Barhl2	BARHL2
Barx1	BARX1B
Barx2	BARX2B
Batf3	BATF3
Baz1b	BAZ1B
Baz2a	BAZ2A
Baz2b	BAZ2B
Bbof1	BBOF1
Bbox1	BBOX1
Bbs2	BBS2
Bbs4	BBS4
Bbs7	BBS7
Bbx	BBX
Bcan	BCAN
Bcap29	BCAP29
Bcar1	BCAR1
Bcas1	BCAS1
Bcas2	BCAS2
Bcas3	BCAS3
Bcat1	BCAT1
Bccip	BCCIP
Bcdin3d	BCDIN3D
Bche	BCHE
Bckdhb	BCKDHB
Bcl10	BCL10
Bcl11a	BCL11A
Bcl2	BCL2
Bcl2l1	BCL2L1
Bcl2l13	BCL2L13
Bcl6	BCL6
Bcl7a	BCL7A
Bcl7b	BCL7B
Bcl9	BCL9
Bcl9l	BCL9L
Bclaf1	BCLAF1
Bco1	BCO1
Bco2	BCO2
Bcor	BCOR
Bcorl1	BCORL1
Bcr	BCR
Bcs1l	BCS1L
Bdh1	BDH1
Bdh2	BDH2
Bdkrb1	BDKRB1
Bdkrb2	BDKRB2
Bdnf	BDNF
Bean1	BEAN1
Begain	BEGAIN
Bend3	BEND3
Bend5	BEND5
Bend6	BEND6
Bend7	BEND7
Best1	BEST1
Best3	BEST3
Bet1	BET1
Gm45785	BET1L
Bet1l	BET1L
H2-M1	BF1
H2-D1	BF1
H2-K1	BF1
H2-Q1	BF1
H2-Q2	BF1
H2-Q4	BF1
H2-Q5	BF1
H2-Q6	BF1
H2-Q7	BF1
H2-M5	BF1
H2-Q10	BF1
H2-M3	BF1
H2-M2	BF1
Azgp1	BF1
Mr1	BF1
Hfe	BF1
H2-T22	BF1
H2-T23	BF1
H2-T24	BF1
Gm11127	BF1
H2-Bl	BF1
Gm7030	BF1
Gm8909	BF1
H2-T3	BF1
H2-M10.1	BF1
H2-M10.3	BF1
H2-M11	BF1
H2-M9	BF1
Bfar	BFAR
H2-M1	BFIV21
H2-D1	BFIV21
H2-K1	BFIV21
H2-Q1	BFIV21
H2-Q2	BFIV21
H2-Q4	BFIV21
H2-Q5	BFIV21
H2-Q6	BFIV21
H2-Q7	BFIV21
H2-M5	BFIV21
H2-Q10	BFIV21
H2-M3	BFIV21
H2-M2	BFIV21
Azgp1	BFIV21
Mr1	BFIV21
Hfe	BFIV21
H2-T22	BFIV21
H2-T23	BFIV21
H2-T24	BFIV21
Gm11127	BFIV21
H2-Bl	BFIV21
Gm7030	BFIV21
Gm8909	BFIV21
H2-T3	BFIV21
H2-M10.1	BFIV21
H2-M10.3	BFIV21
H2-M11	BFIV21
H2-M9	BFIV21
Bfsp1	BFSP1
Bglap3	BGLAP
Bglap2	BGLAP
Bglap	BGLAP
Bhlhe22	BHLHE22
Bhlhe23	BHLHE23
Bhlhe40	BHLHE40
Bicc1	BICC1
Bicd2	BICD2
Bicdl1	BICDL1
Bid	BID
Bin1	BIN1
Birc5	BIRC5
Birc6	BIRC6
H2-Ob	BLB1
H2-Ab1	BLB1
H2-Eb1	BLB1
H2-Eb2	BLB1
H2-Ob	BLB2
H2-Ab1	BLB2
H2-Eb1	BLB2
H2-Eb2	BLB2
Blcap	BLCAP
Klrb1a	Blec2
Klrb1	Blec2
Klrb1b	Blec2
Klrb1c	Blec2
Gm44511	Blec2
Klrb1f	Blec2
Blk	BLK
Blm	BLM
Blmh	BLMH
Blnk	BLNK
Bloc1s2	BLOC1S2
Bloc1s4	BLOC1S4
Bloc1s6	BLOC1S6
Blvra	BLVRA
Blzf1	BLZF1
Bmf	BMF
Bmi1	BMI1
Bmp10	BMP10
Bmp15	BMP15
Bmp2	BMP2
Bmp2k	BMP2K
Bmp3	BMP3
Bmp4	BMP4
Bmp5	BMP5
Bmp7	BMP7
Bmper	BMPER
Bmpr1a	BMPR1A
Bmpr1b	BMPR1B
Bms1	BMS1
Bmt2	BMT2
Bmx	BMX
Bri3bp	BNAS1
Bnc1	BNC1
Bnc2	BNC2
Bnip1	BNIP1
Bnip2	BNIP2
Bnip3	BNIP3
Bnip3l	BNIP3L
Boc	BOC
Bod1l	BOD1L1
Bok	BOK
Boll	BOLL
Borcs5	BORCS5
Bpgm	BPGM
Bphl	BPHL
Bpifb2	BPIFB2
Bpifb4	BPIFB4
Bpnt1	BPNT1
Bptf	BPTF
Braf	BRAF
Brap	BRAP
Brca2	BRCA2
Gm5136	BRCC3
Brcc3	BRCC3
Brd1	BRD1
Brd2	BRD2
Brd3	BRD3
Brd4	BRD4
Brd7	BRD7
Brd8	BRD8
Brdt	BRDT
Brf1	BRF1
Brf2	BRF2
Brinp1	BRINP1
Brinp2	BRINP2
Brinp3	BRINP3
Brip1	BRIP1
Brix1	BRIX1
Brk1	BRK1
Bmpr2	BRK-3
Brms1l	BRMS1L
Brox	BROX
Brpf1	BRPF1
Brs3	BRS3
Brsk2	BRSK2
